"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band A","47228","66965","Selection Exercise Manager","3","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts2"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band B","33835","44300","Deputy Selection Exercise Manager","3","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts3"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band C","27825","35704","Selection Exercise Team Leader","3","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts4"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band D","22755","28000","Selection Exercise Team Manager","5.4","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts5"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band E","17513","21800","Administrative Support","3","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts6"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band A","47228","66965","Operational Business Manager","0.5","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts7"
"Ministry of Justice","Judicial Appointments Commission","Tribunal Appointments","JAC4","Band D","22755","28000","Personal Assistant","1","Operational Delivery","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts8"
"Ministry of Justice","Judicial Appointments Commission","Corporate office","JAC2","Band A","47228","66965","Assistant Director - Finance and Corporate Planning","1","Finance","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts9"
"Ministry of Justice","Judicial Appointments Commission","Corporate office","JAC2","Band C","27825","35704","Finance Manager","1","Finance","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts10"
"Ministry of Justice","Judicial Appointments Commission","Corporate office","JAC2","Band D","22755","28000","Finance Officer","1","Finance","/data/JAC/2011-03-31/JAC-upload-v2.2.xls","juniorPosts11"
