"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band A","42034","67969","Corporate Services","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts2"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band A","42034","67969","Lord Chief Justice's Private Office","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts3"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band A","42034","67969","HR for the Judiciary","5","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts4"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band B","29634","44964","Corporate Services","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts5"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band B","29634","44964","HR for the Judiciary","3.7","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts6"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band C","21096","36061","Corporate Services","4.6","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts7"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band C","21096","36061","Lord Chief Justice's Private Office","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts8"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band C","21096","36061","HR for the Judiciary","3.8","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts9"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band D","17513","28000","Executive Assistant","1","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts10"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band D","17513","28000","Corporate Services","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts11"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band D","17513","28000","Lord Chief Justice's Private Office","0.5","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts12"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band D","17513","28000","Executive Assistant","0.5","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts13"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band D","17513","28000","HR for the Judiciary","6","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts14"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band E","15935","22250","Corporate Services","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts15"
"Ministry of Justice","Judicial Office","Judicial Office","133","Band E","15935","22250","HR for the Judiciary","3","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts16"
"Ministry of Justice","Judicial Office","Judicial Office","142","Band A","42034","67969","Office for Judicial Complaints","3","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts17"
"Ministry of Justice","Judicial Office","Judicial Office","142","Band B","29634","44964","Office for Judicial Complaints","2","Operational delivery","/data/justice/2011-09-30/Copy-of-Judicial-Office-Organogram-transparency-Sept-2011.xls","juniorPosts18"
