"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","EO","22437","26688","Communications support officer","2","Communications","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts2"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","EO","22437","26688","Personal Secretary","1","Operational delivery","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts3"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","HEO","26228","32772","Communications Officer","4","Communications","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts4"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","SEO","32974","47648","Communications Manager","3","Communications","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts5"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","SEO","32974","47648","Private Secretary","1","Operational delivery","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts6"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","G7","48880","59249","Senior Communications Manager","1","Communications","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts7"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","G6","51131","72134","Executive to the Board","1","Operational delivery","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts8"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","AO","18899","21959","Computer Operator","16.5","Information Technology","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts9"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","EO","22437","26688","IT Support Officer","154.49","Information Technology","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts10"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","HEO","26228","32772","IT Officer","135.26","Information Technology","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts11"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","SEO","32974","47648","IT Manager","72.99","Information Technology","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts12"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G7","48880","59249","Senior IT manager","10","Information Technology","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts13"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G6","51131","72134","Senior IT manager","4","Information Technology","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts14"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","AO","18899","21959","HR support officer","3.62","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts15"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","Facilities","1","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts16"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","HR Officer","24.28","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts17"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","Facilities","1.68","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts18"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","HR Officer","26.49","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts19"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","P&I Principal","1.61","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts20"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","Property Asset Manager","1.95","Property and Asset Management","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts21"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Facilities","4","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts22"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","P&I Principal","5","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts23"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Property Asset Manager","3","Property and Asset Management","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts24"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Senior HR Officer","33","Human resources","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","juniorPosts25"
