"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Chief Executives Office","1","1A","13000","17000","Apprentice","1","Other","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts2"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Chief Executives Office","1","4A","30750","40000","Executive Assistant to CEO","1","Other","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts3"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","1A","13000","17000","Apprentice","3","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts4"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Executive Assistant","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts5"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Communications Officer","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts6"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","3D","30450","30450","Programme and Project Officer","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts7"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","3D","30450","30450","Data Analyst","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts8"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","3D","30450","30450","Policy Research Officer","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts9"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Quality Manager","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts10"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Performance Manager","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts11"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Knowledge Management Manager","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts12"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Programme and Project Office Manager","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts13"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","5C","46125","63040","Head Of Research","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts14"
"Department for Business Innovation and Skills","Learning and Skills Improvement Service","Strategy and Business Development Directorate","3","5C","46125","63040","Strategy and Planning Manager","1","Policy","/data/lsis/2011-09-30/310112-LSIS-Organogram.xls","juniorPosts15"
