"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Support/Admin","23300","30000","Administrative assistant","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts2"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBGC","Support/Admin","23300","30000","Administrative assistant","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts3"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","Support/Admin","23300","30000","Administrative assistant","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts4"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Project Manager","45500","65000","Board Secretary","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts5"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Associate","32000","41000","Business Planning Associate","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts6"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Associate","32000","41000","Consumer Panel Associate","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts7"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Project Manager","45500","65000","Consumer Panel Manager","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts8"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Associate","32000","41000","Corporate Affairs Associate","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts9"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBGC","SMT/Head of","62000","100000","Legal Advisor","1","Law","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts10"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Project Manager","45500","65000","Media and Public Affairs Manager","1","Communications","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts11"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Support/Admin","23300","30000","Office Services Co-Ordinator","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts12"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCEO","Support/Admin","23300","30000","Personal Assistant","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts13"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","Associate","32000","41000","Regulatory Associate","5","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts14"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","Project Manager","45500","65000","Regulatory Information Manager","0.7","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts15"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","Project Manager","45500","65000","Regulatory Project Manager","7","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts16"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","SMT/Head of","62000","100000","Research Manager","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/300911-LSB-Organogram-(v0.1).xls","juniorPosts17"
