"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Level 7","16788","17524","Administrator","1","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts2"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band A1","14357","23475","Administrator","7.6","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts3"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band A2","14607","27405","Caseworker","30.5","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts4"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band A3","15190","34792","Junior Analyst","41.02","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts5"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band B1","24906","38731","Analyst","16.01","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts6"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band B2","29773","50182","Internal Auditor","27.65","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts7"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band C","41548","66845","Operational Manager","6","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts8"
"Ministry of Justice","Legal Services Commission","Assurance & Performance Management","20","Band D","60679","85778","Senior Operational Manager","1","Internal Audit","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts9"
"Ministry of Justice","Legal Services Commission","Case Management","4","Level 7","16788","17524","Administrator","2","Operational delivery","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts10"
"Ministry of Justice","Legal Services Commission","Case Management","4","Band A1","14357","23475","Administrator","439.25","Operational delivery","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts11"
"Ministry of Justice","Legal Services Commission","Case Management","4","Band A2","14607","27405","Caseworker","146.9","Operational delivery","/data/justice/2011-09-30/300911-government-staff-and-salary-data-LSC-Return-(final).xls","juniorPosts12"
