"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","B","15171","19168","Communications Support Officer","3","Communications","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts2"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","C","20321","25676","Communications Support Officer","4","Communications","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts3"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","D1","24543","31006","Communications Manager","5","Communications","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts4"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","E1","31518","39878","Communications Manager","1","Communications","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts5"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","F","41161","52081","Communications Manager","3","Communications","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts6"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","B","15171","19168","Policy Support Officer","1","Policy","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts7"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","C","20321","25676","Policy Support Officer","1","Policy","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts8"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","D1","24543","31006","policy adviser","1","Policy","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts9"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","E1","31518","39878","policy adviser","1","Policy","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts10"
"Department for Transport","Maritime and Coastguard Agency","Chief Executive","9","E3","35571","44574","policy adviser","3","Policy","/data/dft/2011-03-31/Final-MCA-Transparency-Return-16-June-2011.xls","juniorPosts11"
