"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 2","band-2","band-2","Operations - Senior Manager - Band 2","1","Operational delivery","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts2"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 4","25000","35000","Operations - Officer - Band 4","1","Operational delivery","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts3"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 5","20000","30000","Operations - Officer - Band 5","2","Operational delivery","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts4"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 6","15000","20000","Operations - Assistant - Band 6","3","Operational delivery","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts5"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 2","band-2","band-2","Scientist - Band 2","8.67","Science and Engineering","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts6"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 3","35000","45000","Scientist - Band 3","13","Science and Engineering","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts7"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 4","25000","35000","Scientist - Band 4","50.06","Science and Engineering","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts8"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 5","20000","30000","Scientist - Band 5","13","Science and Engineering","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts9"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 6","15000","20000","Scientist - Band 6","4","Science and Engineering","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts10"
"Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","1040565","BAND 7","10000","15000","Scientist - Band 7","0.94","Science and Engineering","/data/headoffice/2011-09-30/MRC-Organograms-v0.4-upload.xls","juniorPosts11"
