"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","Met Office","Met Office","RD218a","RD041_Personal Assistant","18900","23100","Diary Manager","1","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts2"
"Ministry of Defence","Met Office","Met Office","RD218a","RD045_Senior Business Analyst","32800","44000","Senior Analyst","4.6","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts3"
"Ministry of Defence","Met Office","Met Office","RD218a","RD072_IT Practitioner","20847","26979","IT Practitioner","48.9","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts4"
"Ministry of Defence","Met Office","Met Office","RD218a","RD076_Senior IT Practitioner","26459","34241","IT Practitioner","108.4","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts5"
"Ministry of Defence","Met Office","Met Office","RD218a","RD082_Lead IT Practitioner","30657","41125","IT Practitioner","55.5","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts6"
"Ministry of Defence","Met Office","Met Office","RD218a","RD085_IT Analyst","30657","41125","IT Practitioner","3","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts7"
"Ministry of Defence","Met Office","Met Office","RD218a","RD086_IT Manager","36721","49260","IT Manager","7.5","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts8"
"Ministry of Defence","Met Office","Met Office","RD218a","RD087_Expert IT Practitioner","36721","49260","IT Practitioner","13","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts9"
"Ministry of Defence","Met Office","Met Office","RD218a","RD088_Expert IT Analyst","36721","49260","IT Practitioner","9.4","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts10"
"Ministry of Defence","Met Office","Met Office","RD218a","RD096_IT Fellow","43700","66125","Senior IT manager","2","Information Technology","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts11"
"Ministry of Defence","Met Office","Met Office","RD218a","RD111_Portfolio Manager","35260","47300","Project Manager","3","Programme and Project Management (PPM)","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts12"
"Ministry of Defence","Met Office","Met Office","RD218a","RD113_Programme Manager","43617","70150","Programme Manager","1","Programme and Project Management (PPM)","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts13"
"Ministry of Defence","Met Office","Met Office","RD218a","RD114_Project Manager","26350","34100","Project Manager","8.1","Programme and Project Management (PPM)","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts14"
"Ministry of Defence","Met Office","Met Office","RD218a","RD115_Senior Project Manager","35260","47300","Senior Project Manager","10.8","Programme and Project Management (PPM)","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","juniorPosts15"
