"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24362","29383","Admin Support Officer","0.64","Operational Delivery","/data/mod/2016-03-31/HOCSSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","4","20837","34168","Analyst","2","Statisticians","/data/mod/2016-03-31/SSROSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF2","39629","47127","Military","181","Military","/data/mod/2016-03-31/DESSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF1","25727","34180","Military","308","Military","/data/mod/2016-03-31/AirSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","6","38357","51595","Business Manager","1","Science and Engineering","/data/dstl/2016-03-31/310316-DSTL-Organogram-ver1.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","84878","93304","Army","10","Military","/data/mod/2016-03-31/JFCSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF5","84878","93304","Officer","272","Military","/data/mod/2016-03-31/ArmySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Academic Prof of Music (Eng) - 2018","53112","53112","Teaching","0.94","Operational Delivery","/data/mod/2016-03-31/NavySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Head of Museum Specialist Function-Collections","38553","44711","Head of Museum Specialist Function-Collections","1","Other","/data/nam/2016-03-31/National-Army-Museum-25.5.16.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Project Management","12","Programme and Project Management (PPM)","/data/mod/2016-03-31/DIOSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts2"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","B1","58674","72907","Admin Support Officer","0.81","Operational Delivery","/data/mod/2016-03-31/HOCSSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","4","20837","34168","VFM Research Manager","1","Statisticians","/data/mod/2016-03-31/SSROSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF3","49918","59783","Military","289","Military","/data/mod/2016-03-31/DESSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF2","39629","47127","Military","2495","Military","/data/mod/2016-03-31/AirSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","6","38357","51595","Team Member","1","Science and Engineering","/data/dstl/2016-03-31/310316-DSTL-Organogram-ver1.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70059","81123","Army","31","Military","/data/mod/2016-03-31/JFCSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20668","Head of Musem Specialist Function - Public Programes","38553","44711","Head of Musem Specialist Function - Public Programes","1","Other","/data/nam/2016-03-31/National-Army-Museum-25.5.16.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF4","70059","81123","Officer","1098","Military","/data/mod/2016-03-31/ArmySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Officer 2","31351","36696","Direct Military Support","1","Operational Delivery","/data/mod/2016-03-31/NavySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Estates Management","7","Property And Asset Management","/data/mod/2016-03-31/DIOSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts3"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","B2","49835","60130","Admin Support Officer","1","Operational Delivery","/data/mod/2016-03-31/HOCSSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","4","20837","34168","Project Executive","1","Programme and Project Management (PPM)","/data/mod/2016-03-31/SSROSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF4","70059","81123","Military","187","Military","/data/mod/2016-03-31/DESSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF3","49918","59783","Military","1579","Military","/data/mod/2016-03-31/AirSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","7","47947","61439","Deputy Account Manager","2","Science and Engineering","/data/dstl/2016-03-31/310316-DSTL-Organogram-ver1.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","49918","59783","Army","95","Military","/data/mod/2016-03-31/JFCSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Finance","38553","44711","Head of Finance","1","Finance","/data/nam/2016-03-31/National-Army-Museum-25.5.16.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF3","49918","59783","Officer","3372","Military","/data/mod/2016-03-31/ArmySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Officer 2","31351","36696","Port Operations","1","Operational Delivery","/data/mod/2016-03-31/NavySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Programme Management","6","Programme and Project Management (PPM)","/data/mod/2016-03-31/DIOSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts4"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24362","29383","Admin Support Officer","2","Operational Delivery","/data/mod/2016-03-31/HOCSSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","3","18648","26498","Senior Analyst","2","Statisticians","/data/mod/2016-03-31/SSROSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF5","84878","93304","Military","75","Military","/data/mod/2016-03-31/DESSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF4","70059","81123","Military","605","Military","/data/mod/2016-03-31/AirSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","8","56529","71370","Account Manager","6","Science and Engineering","/data/dstl/2016-03-31/310316-DSTL-Organogram-ver1.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","39629","47127","Army","99","Military","/data/mod/2016-03-31/JFCSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Senior IT Manager","38553","44711","Senior IT Manager","1","Information Technology","/data/nam/2016-03-31/National-Army-Museum-25.5.16.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF2","39629","47127","Officer","3961","Military","/data/mod/2016-03-31/ArmySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Officer 2","31351","36696","Business Management","1","Operational Delivery","/data/mod/2016-03-31/NavySalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Business Management","4","Operational Delivery","/data/mod/2016-03-31/DIOSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts5"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24362","29383","Admin Support Officer","1","Operational Delivery","/data/mod/2016-03-31/HOCSSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts6"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","2","100000","120000","Chief Analyst","1","Statisticians","/data/mod/2016-03-31/SSROSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts6"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OR2","18306","29603","Military","14","Military","/data/mod/2016-03-31/DESSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts6"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF5","84878","93304","Military","166","Military","/data/mod/2016-03-31/AirSalaryDataSpreadsheetAsAt1Apr2016.xls","juniorPosts6"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","8","56529","71370","Deputy Account Manager","2","Science and Engineering","/data/dstl/2016-03-31/310316-DSTL-Organogram-ver1.xls","juniorPosts6"
