"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band A","42034","67969","senior operational manager","5","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts2"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band B","29634","44964","Senior Communications Manager","0.83","Communications","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts3"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band B","29634","44964","senior operational manager","13","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts4"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band C","21096","36061","Communications Manager","1","Communications","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts5"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band C","21096","36061","Operational manager","15.81","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts6"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band D","17513","28000","Communications Manager","1","Communications","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts7"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band D","17513","28000","Operational manager","38.39","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts8"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band E","15935","22250","Operations Support Officer","23.86","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts9"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band F","13894","18700","Operations Support Officer","1","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts10"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band A","42034","67969","senior operational manager","9","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts11"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band B","29634","44964","senior operational manager","8","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts12"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band C","21096","36061","Operational manager","10.5","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts13"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band D","17513","28000","Operational manager","14.92","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts14"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band E","15935","22250","Operations Support Officer","17.76","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts15"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","6","Band A","42034","67969","senior finance manager","3","Finance","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts16"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","6","Band A","42034","67969","Senior Legal Adviser","1","Law","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts17"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","6","Band A","42034","67969","senior operational manager","7","Operational Delivery","/data/justice/2011-03-31/Datasheets-working-v2.5-020611.xls","juniorPosts18"
