"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","Monitor","Regulatory Operations Directorate","3","2","68000","116725","Senior managers & lead functional specialist","2","Knowledge and Information Management (KIM)","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department of Health","Monitor","Regulatory Operations Directorate","3","3","35000","74095","Managers & functional specialists","5","Knowledge and Information Management (KIM)","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department of Health","Monitor","Regulatory Operations Directorate","3","3","35000","74095","Managers & functional specialists","1.69","Finance","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department of Health","Monitor","Regulatory Operations Directorate","3","3","35000","74095","Managers & functional specialists","1","Procurement","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department of Health","Monitor","Regulatory Operations Directorate","3","4","19000","37550","Business support staff","2","Operational delivery","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department of Health","Monitor","Regulatory Operations Directorate","3","4","19000","37550","Business support staff","0.56","Finance","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department of Health","Monitor","Regulatory Operations Directorate","3","4","19000","37550","Business support staff","1","Knowledge and Information Management (KIM)","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department of Health","Monitor","Regulatory Operations Directorate","8","2","68000","116725","Senior managers & lead functional specialist","4","Operational delivery","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department of Health","Monitor","Regulatory Operations Directorate","8","3","35000","74095","Managers & functional specialists","12","Operational delivery","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department of Health","Monitor","Regulatory Operations Directorate","9","2","68000","116725","Senior managers & lead functional specialist","5","Operational delivery","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department of Health","Monitor","Regulatory Operations Directorate","9","3","35000","74095","Managers & functional specialists","14.4","Operational delivery","/data/monitor-nhsft/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
