"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Museum of Science and Industry","Directorate","1","Project Coordinator, Officer & Advisor Level","17500","26700","PA to Director","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts2"
"Department for Culture, Media and Sport","Museum of Science and Industry","Directorate","1","Project Coordinator, Officer & Advisor Level","17500","26700","Health & Safety Advisor","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts3"
"Department for Culture, Media and Sport","Museum of Science and Industry","Operational & Support Management","1","Operational & Support Management Level","27000","41000","Technical Services Manager","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts4"
"Department for Culture, Media and Sport","Museum of Science and Industry","Finance & Management Services","1","Operational & Support Management Level","27000","41000","Information Technology Manager","1","Information Technology","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts5"
"Department for Culture, Media and Sport","Museum of Science and Industry","Finance & Management Services","1","Operational & Support Management Level","27000","41000","Human Resources Manager","1","Human resources","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts6"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","1","Operational & Support Management Level","27000","41000","Operations Manager","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts7"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","2","Operational & Support Management Level","27000","41000","Head of Fundraising","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts8"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","2","Operational & Support Management Level","27000","41000","(Commercial) Events Manager (FTC)","0.6","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts9"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","2","Operational & Support Management Level","27000","41000","Marketing Manager","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts10"
"Department for Culture, Media and Sport","Museum of Science and Industry","Interpretation & Learning","3","Operational & Support Management Level","27000","41000","Collections Manager","1","Knowledge and Information Management (KIM)","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts11"
"Department for Culture, Media and Sport","Museum of Science and Industry","Interpretation & Learning","3","Operational & Support Management Level","27000","41000","Learning Manager","1","Knowledge and Information Management (KIM)","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts12"
"Department for Culture, Media and Sport","Museum of Science and Industry","Interpretation & Learning","3","Operational & Support Management Level","27000","41000","STEM Manager (FTC)","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts13"
"Department for Culture, Media and Sport","Museum of Science and Industry","Finance & Management Services","3","Operational & Support Management Level","27000","41000","Finance Manager","1","Finance","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts14"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","3","First Line Management / Team Leader Level","21000","30000","Visitor Experience Team Leader","4","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts15"
"Department for Culture, Media and Sport","Museum of Science and Industry","Finance & Management Services","3","First Line Management / Team Leader Level","21000","30000","Technical Services Team Leader / Project Co-ordinator","3","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts16"
"Department for Culture, Media and Sport","Museum of Science and Industry","Interpretation & Learning","3","First Line Management / Team Leader Level","21000","30000","Senior Collections Staff","3","Knowledge and Information Management (KIM)","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts17"
"Department for Culture, Media and Sport","Museum of Science and Industry","Interpretation & Learning","3","First Line Management / Team Leader Level","21000","30000","Mcr Science Festival Director","1","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts18"
"Department for Culture, Media and Sport","Museum of Science and Industry","Interpretation & Learning","3","First Line Management / Team Leader Level","21000","30000","Senior Education & Interpretation Officer","1","Knowledge and Information Management (KIM)","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts19"
"Department for Culture, Media and Sport","Museum of Science and Industry","Finance & Management Services","2","Project Coordinator, Officer & Advisor Level","17500","26700","Human Resources Officer Level Staff","2","Human resources","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts20"
"Department for Culture, Media and Sport","Museum of Science and Industry","Finance & Management Services","3","Project Coordinator, Officer & Advisor Level","17500","26700","Information Technology Officer Level Staff","3","Information Technology","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts21"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","2","Project Coordinator, Officer & Advisor Level","17500","26700","Fundraising Executive","1","Operational Research","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts22"
"Department for Culture, Media and Sport","Museum of Science and Industry","Marketing & Business Development","2","Project Coordinator, Officer & Advisor Level","17500","26700","Marketing Officer Level Staff","2.6","Operational delivery","/data/mosi/2011-09-30/government-staff-and-salary-data-template---September-2011-Final-upload.xls","juniorPosts23"
