"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Head of Security","37444","44711","Head of Security","1","Operational Delivery","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts2"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Head of Finance","37444","44711","Head of Finance","1","Finance","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts3"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Senior IT Manager","37444","44711","Senior IT Manager","1","Information Technology","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts4"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Senior Photographic Officer","37444","44711","Senior Photographic Officer","0.66","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts5"
"Ministry of Defence","National Army Museum","Land Forces","P20638","Senior Curatorial Officer","30732","36696","Senior Curatorial Officer","6.32","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts6"
"Ministry of Defence","National Army Museum","Land Forces","P20668","On-Line Content Officer","30732","36696","On-Line Content Officer","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts7"
"Ministry of Defence","National Army Museum","Land Forces","P20474","ICT Systems Manager","30732","36696","ICT Systems Manager","1","Information Technology","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts8"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Facilities Officer","30732","36696","Facilities Officer","1","Operational Delivery","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts9"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Marketing & Communications Officer","30732","36696","Marketing & Communications Officer","2","Communications","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts10"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Photographic Officer","30732","36696","Photographic Officer","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts11"
"Ministry of Defence","National Army Museum","Land Forces","P20638","Senior Documentation Officer","30732","36696","Senior Documentation Officer","0.55","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts12"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Education Officer","30732","36696","Education Officer","2.68","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts13"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Visitor Services Supervisor","30732","36696","Visitor Services Supervisor","1","Operational Delivery","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts14"
"Ministry of Defence","National Army Museum","Land Forces","P20376","HR Officer","30732","36696","HR Officer","1","Human Resources","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts15"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Finance Officer","30732","36696","Finance Officer","1","Finance","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts16"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Stores Officer","30732","36696","Stores Officer","1","Procurement","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts17"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Web Manager","30732","36696","Web Manager","1","Information Technology","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts18"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Records Officer","30732","36696","Records Officer","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts19"
"Ministry of Defence","National Army Museum","Land Forces","P20474","ICT Systems Support","30732","36696","ICT Systems Support","1","Information Technology","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts20"
"Ministry of Defence","National Army Museum","Land Forces","P20638","Curatorial Officer","24608","29383","Curatorial Officer","5.66","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts21"
"Ministry of Defence","National Army Museum","Land Forces","P20638","Conservator","24608","29383","Conservator","2","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts22"
"Ministry of Defence","National Army Museum","Land Forces","P20611","Senior Personal Secretary","24608","29383","Senior Personal Secretary","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts23"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Graphic Designers","24608","29383","Graphic Designers","3","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts24"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Activity Co-Ordinator","24608","29383","Activity Co-Ordinator","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts25"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Learning & Outreach Officer","24608","29383","Learning & Outreach Officer","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts26"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Visitor Services Host","24608","29383","Visitor Services Host","2","Operational Delivery","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts27"
"Ministry of Defence","National Army Museum","Land Forces","P20668","Documentation Assistant","19853","22345","Documentation Assistant","1","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts28"
"Ministry of Defence","National Army Museum","Land Forces","P20474","Security Officer","19853","22345","Security Officer","1","Operational Delivery","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts29"
"Ministry of Defence","National Army Museum","Land Forces","P20611","Development Administrator","19853","22345","Development Administrator","0.66","Other","/data/nam/2014-03-31/National-Army-Museum-FINAL-2-31-March-2014.xls","juniorPosts30"
