"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","National College for Leadership of Schools and Children's Services","Chief Executives Office","NCSL-1001","C2","33830","46584","Senior Advisor","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts2"
"Department for Education","National College for Leadership of Schools and Children's Services","Chief Executives Office","NCSL-1001","C2","33830","46584","Office Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts3"
"Department for Education","National College for Leadership of Schools and Children's Services","Chief Executives Office","NCSL-1001","E","19991","26507","PA","0.74","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts4"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1005","E","19991","26507","PA","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts5"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1004","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts6"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1002","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts7"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1006","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts8"
"Department for Education","National College for Leadership of Schools and Children's Services","School Leadership Development","NCSL-1003","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts9"
"Department for Education","National College for Leadership of Schools and Children's Services","School Leadership Development","NCSL-1003","C1","43056","59289","Senior Operations Manager","1.22","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts10"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C1","43056","59289","E-Learning Account Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts11"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C1","43056","59289","Professional Suport Advisor","0.32","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts12"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C1","43056","59289","Senior E Learning Manager","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts13"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C2","33830","46584","Analyst","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts14"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C2","33830","46584","Customer Relations And Support Manager","0.86","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts15"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C2","33830","46584","E-Learning Account Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts16"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C2","33830","46584","E-Learning Specialist","4.61","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts17"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","C2","33830","46584","Website Manager","1.61","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts18"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1005","C2","33830","46584","Income Generation Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts19"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","D","26142","35997","Online Technical Editor","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts20"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","D","26142","35997","Web Editor","5.11","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts21"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1015","E","19991","26507","Senior Administrator","0.59","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts22"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1005","E","19991","26507","Senior Project / Programme Co-ordinator","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts23"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","C1","43056","59289","Senior Programmes Leader","1.81","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts24"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","C2","33830","46584","Senior Project / Progamme Manager","4.6","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts25"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","D","26142","35997","Placements Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts26"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","D","26142","35997","Project / Programme Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts27"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","D","26142","35997","Stakeholder Communications Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts28"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts29"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","E","19991","26507","Senior Project / Programme Co-ordinator","4.5","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts30"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","F","15377","20390","Project / Programme Co-ordinator","4","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts31"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1008","Apprentice","9000","12000","Apprentice","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts32"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1005","C1","43056","59289","Senior Operations Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts33"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1005","D","26142","35997","Programmes Performance Development Officer","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts34"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1005","D","26142","35997","Project / Programme Manager","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts35"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1012","C1","43056","59289","Senior Programmes Leader","1.42","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts36"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1012","C2","33830","46584","Senior Project / Progamme Manager","2.6","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts37"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1012","D","26142","35997","Office Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts38"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1012","E","19991","26507","Senior Project / Programme Co-ordinator","3","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts39"
"Department for Education","National College for Leadership of Schools and Children's Services","Continuous Leadership Learning","NCSL-1012","F","15377","20390","Project / Programme Co-ordinator","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts40"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","C1","43056","59289","Senior Procurement Manager","3","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts41"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","D","26142","35997","Buying Manager","1","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts42"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","D","26142","35997","Framework Manager","1.22","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts43"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","D","26142","35997","Senior Business Partner","1","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts44"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","E","19991","26507","Business Partner","0.86","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts45"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","E","19991","26507","Buyer","2","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts46"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","E","19991","26507","Analyst","1","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts47"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1021","F","15377","20390","Assistant Buyer","1.8","Procurement","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts48"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","C1","43056","59289","Financial Controller","0.81","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts49"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","C2","33830","46584","senior finance manager","3","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts50"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","C2","33830","46584","Senior Planning & Information Manager","2","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts51"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","D","26142","35997","Finance Analyst","3","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts52"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","D","26142","35997","Financial Accountant","1","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts53"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","D","26142","35997","Systems & Planning Analyst","1","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts54"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts55"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","F","15377","20390","Finance Assistant","2.61","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts56"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1016","Apprentice","9000","12000","Apprentice","1","Finance","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts57"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","C1","43056","59289","HR Project Manager","0.64","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts58"
