"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","Grade 6","58009","72464","Programme officer manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts2"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","Grade 7","47907","59708","Head of Human Resources","0.6","Human resources","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts3"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","Grade 7","47907","59708","Project Manager","1","Policy","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts4"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","SEO","36126","43309","Finance Manager","1","Finance","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts5"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","SEO","36126","43309","Executive Assistant","1","Other","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts6"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","SEO","36126","43309","Facilities Delivery Manager","1","Other","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts7"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","HEO","28668","35001","Personal Assistant","1","Other","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts8"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","EO","24951","30463","Finance Support Officer","1","Other","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts9"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","EO","24951","30463","Corporate Support","1","Other","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts10"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","Grade 6","58009","72464","Programme Manager","1","Law","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts11"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","Grade 6","58009","72464","Programme Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts12"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","Grade 6","58009","72464","Programme Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts13"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","Grade 7","47907","59708","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts14"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","Grade 7","47907","59708","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts15"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","SEO","36126","43309","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts16"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","SEO","36126","43309","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts17"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","SEO","36126","43309","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts18"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","HEO","28668","35001","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts19"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA01","HEO","28668","35001","Project Support Officer","1","Other","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts20"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","Grade 7","47907","59708","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts21"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","Grade 7","47907","59708","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts22"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","SEO","36126","43309","Project Manager","1","Operational Research","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts23"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","SEO","36126","43309","Project Manager","1","Operational Research","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts24"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","SEO","36126","43309","Project Manager","1","Operational Research","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts25"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","HEO","28668","35001","Project Support Officer","1","Operational Research","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts26"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA02","EO","24951","30463","Review Support Officer","1","Operational Research","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts27"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","Grade 6","58009","72464","Project Manager","1","Communications","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts28"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","Grade 6","58009","72464","Project Manager","1","Operational delivery","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts29"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","Grade 7","47907","59708","Project Manager","1","Communications","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts30"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","Grade 7","47907","59708","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts31"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","Grade 7","47907","59708","Project Manager","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts32"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","SEO","36126","43309","Project Manager","1","Communications","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts33"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","SEO","36126","43309","Project Manager","1","Operational delivery","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts34"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","SEO","36126","43309","Project Manager","1","Operational delivery","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts35"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","SEO","36126","43309","Project Manager","1","Operational delivery","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts36"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","SEO","36126","43309","Project Manager","1","Communications","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts37"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","HEO","28668","35001","Project Manager","1","Operational delivery","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts38"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","EO","24951","30463","Project Support Officer","1","Operational delivery","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts39"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","SEO","36126","43309","Project Manager (Vacant)","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts40"
"Home Office","National Fraud Authority","National Fraud Authority","2NFA01","SEO","36126","43309","Project Manager (Vacant)","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts41"
"Home Office","National Fraud Authority","National Fraud Authority","1NFA03","SEO","36126","43309","Project Manager (Vacant)","1","Programme and Project Management (PPM)","/data/homeoffice/2011-09-30/300911---National-Fraud-Agency---Organogram-Data---FINAL.xls","juniorPosts42"
