"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Chief Executive","1","Grade 6","65346","71953","Director of Communications","1","Communications","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Chief Executive","1","Grade 7","40588","59406","Head of Branch","3.8","Communications","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Chief Executive","1","HEO","26797","39735","Communications/Media/Web Manager","6.2","Communications","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Chief Executive","1","EO","21000","27208","Communications/Media/Web Officer","5","Communications","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Chief Executive","1","AO","14287","21928","Communications/Media/Publishing Assistant","3","Communications","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","Grade 7","40588","59406","Head of Finance","1","Finance","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","Grade 7","40588","59406","Head of IT & Facitilities","1","Information Technology","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","Grade 7","40588","59406","Head of Personnel & Training","1","Human Resources","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","Grade 7","40588","59406","Head of Secretariat","1","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","HEO","26797","39735","Deputy Secretary to the Board","3","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","HEO","26797","39735","Senior Finance Officer","1","Finance","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","HEO","26797","39735","Data/Network Manager","2","Information Technology","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","HEO","26797","39735","Office Manager/PA/Team Support Officer","1","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","EO","21000","27208","HR Officer","3","Human Resources","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","EO","21000","27208","Finance Officer","3","Finance","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts16"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","EO","21000","27208","IT Support Officer","3","Information Technology","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts17"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","EO","21000","27208","Office Manager/PA/Team Support Officer","4.8","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts18"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","AO","14287","21928","Finance Administrator","1.6","Finance","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts19"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","AO","14287","21928","HR support officer","1","Human Resources","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts20"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Finance & Corporate Services","2","AO","14287","21928","Office Assistant","3.6","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts21"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","Grade 6","65346","71953","Deputy Director","1","Planning","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts22"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","Grade 7","40588","59406","Head of Branch","6","Planning","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts23"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","HEO","26797","39735","policy advisor","2.6","Planning","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts24"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","HEO","26797","39735","Programme Manager","3","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts25"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","HEO","26797","39735","Research Manager","1.6","Operational Research","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts26"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","HEO","26797","39735","Business Development Manager","1.5","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts27"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","HEO","26797","39735","Senior Grants Officer","0.6","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts28"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","EO","21000","27208","Grants Officer","1","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts29"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Strategy & Business Development","3","EO","21000","27208","Office Manager/PA/Team Support Officer","5","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts30"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","Grade 6","65346","71953","Deputy Director","2","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts31"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","Grade 7","40588","59406","Head of Country/Region","11.6","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts32"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","Grade 7","40588","59406","Grants Lawyer","2","Law","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts33"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","HEO","26797","39735","Grants Lawyer","1","Law","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts34"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","HEO","26797","39735","Casework Manager","12","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts35"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","HEO","26797","39735","Senior Grants Officer","12.8","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts36"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","HEO","26797","39735","Development Manager","12","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts37"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","EO","21000","27208","Grants Officer","34.7","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts38"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","EO","21000","27208","Development Officer","22","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts39"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","EO","21000","27208","Office Manager/PA/Team Support Officer","14","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts40"
"Department for Culture, Media and Sport","National Heritage Memorial Fund","Operations","4","AO","14287","21928","Grants Assistant/Office Assistant","29.6","Operational Delivery","/data/hlf/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts41"
