"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","National Institute for Health and Care Excellence","Corporate Office","7587161","Band 5","21176","33041","Coordinator","3.87","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department of Health","National Institute for Health and Care Excellence","Corporate Office","7587161","Band 7","30460","46374","Project Manager","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department of Health","National Institute for Health and Care Excellence","Corporate Office","7587161","Band 7","30460","46374","Records Manager","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department of Health","National Institute for Health and Care Excellence","Corporate Office","7587161","Band 8A","38851","52838","Governance Manager","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department of Health","National Institute for Health and Care Excellence","Corporate Office","7587161","Band 8C","54454","73351","Associate Director","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 4","18152","26158","Administrator","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 5","21176","33041","Coordinator","1.8","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 5","21176","33041","Web Officer","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 6","25472","40406","Communications Executive","4.99","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 6","25472","40406","Press Executive","4","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 6","25472","40406","Web Writer","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts12"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 7","30460","46374","Communications Manager","2","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts13"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 7","30460","46374","Dissemination Manager","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts14"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 7","30460","46374","Enquiry Handling Manager","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts15"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 7","30460","46374","Press Manager","3","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts16"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 7","30460","46374","Web Manager","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts17"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 8A","38851","52838","Editor","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts18"
"Department of Health","National Institute for Health and Care Excellence","Communications","7456276","Band 8C","54454","73351","Associate Director","3","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts19"
"Department of Health","National Institute for Health and Care Excellence","Facilities","7587161","Band 3","15610","22613","Administrator","5","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts20"
"Department of Health","National Institute for Health and Care Excellence","Facilities","7587161","Band 3","15610","22613","Receptionist","2","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts21"
"Department of Health","National Institute for Health and Care Excellence","Facilities","7587161","Band 5","21176","33041","Coordinator","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts22"
"Department of Health","National Institute for Health and Care Excellence","Facilities","7587161","Band 6","25472","40406","Assistant Office Manager","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts23"
"Department of Health","National Institute for Health and Care Excellence","Facilities","7587161","Band 8A","38851","52838","Office Manager","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts24"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 5","21176","33041","Coordinator","2","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts25"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 6","25472","40406","Costing Analyst","2","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts26"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 7","30460","46374","Commissioning Advisor","2.55","Planning","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts27"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 7","30460","46374","Costing Analyst","7.4","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts28"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 8A","38851","52838","Senior Commissioning Advisor","0.93","Planning","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts29"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 8A","38851","52838","Senior Costing Analyst","3.5","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts30"
"Department of Health","National Institute for Health and Care Excellence","Costing & Commissioning","2553540","Band 8D","65270","87027","Associate Director","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts31"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 4","18152","26158","Administrator","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts32"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 5","21176","33041","Coordinator","4.9","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts33"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 6","25472","40406","Senior Coordinator","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts34"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 7","30460","46374","Project Manager","2","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts35"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 7","30460","46374","Technical Analyst","6","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts36"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7442603","Band 7","30460","46374","Technical Analyst","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts37"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 8A","38851","52838","Commissioning Manager","6","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts38"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 8B","42254","62162","Senior Technical Advisor","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts39"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 8B","42254","62162","Technical Advisor","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts40"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7442603","Band 8B","42254","62162","Technical Advisor","2","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts41"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 8C","54454","73351","Associate Director","2","Planning","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts42"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7378705","Band 8C","54454","73351","Senior Technical Advisor","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts43"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7442603","Band 8C","54454","73351","Senior Technical Advisor","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts44"
"Department of Health","National Institute for Health and Care Excellence","Clinical Guidelines","7442603","Consultant","74504","102608","Associate Director","1.8","Medicine","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts45"
"Department of Health","National Institute for Health and Care Excellence","Diagnostics Assessment Programme","7621394","Band 4","18152","26158","Administrator","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts46"
"Department of Health","National Institute for Health and Care Excellence","Diagnostics Assessment Programme","7621394","Band 7","30460","46374","Project Manager","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts47"
"Department of Health","National Institute for Health and Care Excellence","Diagnostics Assessment Programme","7621394","Band 7","30460","46374","Technical Analyst","4","Science & Engineering","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts48"
"Department of Health","National Institute for Health and Care Excellence","Diagnostics Assessment Programme","7621394","Band 8B","42254","62162","Technical Advisor","1","Science & Engineering","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts49"
"Department of Health","National Institute for Health and Care Excellence","Diagnostics Assessment Programme","7621394","Band 8D","65270","87027","Associate Director","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts50"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 5","21176","33041","Coordinator","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts51"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 6","25472","40406","Editor","2","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts52"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 6","25472","40406","Medical Editor","10.36","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts53"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 7","30460","46374","Publishing and Distribution Manager","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts54"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 7","30460","46374","Senior Editor","1","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts55"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 7","30460","46374","Medical Editor","13.3","Knowledge and Information Management (KIM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts56"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 8A","38851","52838","Editorial Advisor","3.6","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts57"
"Department of Health","National Institute for Health and Care Excellence","Editorial and Publishing","7456276","Band 8C","54454","73351","Associate Director","1","Planning","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts58"
"Department of Health","National Institute for Health and Care Excellence","Engagement & Management","5772184","Band 5","21176","33041","Coordinator","2","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts59"
"Department of Health","National Institute for Health and Care Excellence","Engagement & Management","5772184","Band 8A","38851","52838","Business Manager","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts60"
"Department of Health","National Institute for Health and Care Excellence","Engagement & Management","5772184","Band 8A","38851","52838","Communications Manager","1","Communications","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts61"
"Department of Health","National Institute for Health and Care Excellence","Engagement & Management","7547856","Consultant","74504","102608","Clinical Advisor","1","Medicine","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts62"
"Department of Health","National Institute for Health and Care Excellence","Engagement & Management","5772184","Band 6","25472","40406","Developer","1","Information Technology","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts63"
"Department of Health","National Institute for Health and Care Excellence","Engagement & Management","5772184","Band 8A","38851","52838","Developer","1","Information Technology","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts64"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 4","18152","26158","Administrator","2","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts65"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 5","21176","33041","Coordinator","1","Operational Delivery","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts66"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 7","30460","46374","Analyst","7","Science & Engineering","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts67"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 7","30460","46374","Project Manager","3","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts68"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 8A","38851","52838","Programme Manager","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts69"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 8B","42254","62162","Technical Advisor","3","Science & Engineering","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts70"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Band 8D","65270","87027","Associate Director","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts71"
"Department of Health","National Institute for Health and Care Excellence","Medical Technologies","7621394","Consultant","74504","102608","Clinical Advisor","0.4","Medicine","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts72"
"Department of Health","National Institute for Health and Care Excellence","Fellows Programme","7379283","Band 8A","38851","52838","Programme Manager","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts73"
"Department of Health","National Institute for Health and Care Excellence","Fellows Programme","7379283","Consultant","74504","102608","Senior Mentor","0.4","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts74"
"Department of Health","National Institute for Health and Care Excellence","Field Team","2553540","Band 8C","54454","73351","Implementation Consultant","6","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts75"
"Department of Health","National Institute for Health and Care Excellence","Field Team","2553540","Band 8D","65270","87027","Associate Director","1","Programme and Project Management (PPM)","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts76"
"Department of Health","National Institute for Health and Care Excellence","Finance","7587161","Band 3","15610","22613","Accounts Assistant","2","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts77"
"Department of Health","National Institute for Health and Care Excellence","Finance","7587161","Band 4","18152","26158","Assistant Accountant","3","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts78"
"Department of Health","National Institute for Health and Care Excellence","Finance","7587161","Band 7","30460","46374","Accountant","2","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts79"
"Department of Health","National Institute for Health and Care Excellence","Finance","7587161","Band 8A","38851","52838","Accountant","1","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts80"
"Department of Health","National Institute for Health and Care Excellence","Finance","7587161","Band 8B","42254","62162","Associate Director","0.8","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts81"
"Department of Health","National Institute for Health and Care Excellence","Finance","7587161","Band 8C","54454","73351","Associate Director","1","Finance","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts82"
"Department of Health","National Institute for Health and Care Excellence","Human Resources","7587161","Band 3","15610","22613","Administrator","1","Human Resources","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts83"
"Department of Health","National Institute for Health and Care Excellence","Human Resources","7587161","Band 5","21176","33041","HR Advisor","3","Human Resources","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts84"
"Department of Health","National Institute for Health and Care Excellence","Human Resources","7587161","Band 6","25472","40406","Senior HR Advisor","1.8","Human Resources","/data/nice/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts85"
