"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance Team","DC","C2","46000","62000","Head of IT Operations","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance Team","DC","C2","46000","62000","Head of Compliance","1","Internal Audit","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance Team","DC","B1","28000","38000","Compliance Auditor","5","Internal Audit","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance Team","DC","A3","23000","31000","Computer Operator","0.83","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","B1","28000","38000","Cross Directorate Projects Officer","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","B1","28000","38000","Licensing Mananger","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","A3","23000","31000","Licensing Officer","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","A3","23000","31000","Secretariat Support","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","A2","19000","26000","Vetting Officer","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","A2","19000","26000","Team Administrator","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing Team","DCE","C2","46000","62000","Head of Licensing and Consumer Protection","1","Operational delivery","/data/natlotcomm/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
