"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Archive/Library Assistant","7","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Archive/Library Manager","2","Knowledge and Information Management (KIM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Archivist/Librarian","5","Knowledge and Information Management (KIM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Capital Project Assistant","1.39","Programme and Project Management (PPM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Senior Management and Senior Specialist","28331","54601","Capital Project Manager","0.59","Programme and Project Management (PPM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Collections Assistant","11.59","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Collections Manager","6.48","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Collections Officer","6","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Administrative","13229","25755","Commercial Assistant","33.88","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Management, Specialist and Technical","15703","41208","Commercial Manager","8.23","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Administrative","13229","25755","Commercial Officer","6.51","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Management, Specialist and Technical","15703","41208","Commercial Project Manager","0.59","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Administrative","13229","25755","Commercial Assistant","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Administrative","13229","25755","Commercial Assistant","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","National Maritime Museum","Communications and Visitor Experience","7","Administrative","13229","25755","Communications Assistant","1","Communications","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts16"
"Department for Culture, Media and Sport","National Maritime Museum","Communications and Visitor Experience","7","Management, Specialist and Technical","15703","41208","Communications Manager","2","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts17"
"Department for Culture, Media and Sport","National Maritime Museum","Communications and Visitor Experience","7","Management, Specialist and Technical","15703","41208","Communications Officer","3","Communications","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts18"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Conservation Assistant","5","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts19"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Conservation Intern","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts20"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Senior Management and Senior Specialist","28331","54601","Conservation Manager","4","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts21"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Conservator","11","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts22"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Curator","20.56","Operational Research","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts23"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Curatorial Assistant","2","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts24"
"Department for Culture, Media and Sport","National Maritime Museum","Collections and Curatorial","2","Management, Specialist and Technical","15703","41208","Curatorial Manager","1","Operational Research","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts25"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Administrative","13229","25755","Development Assistant","4","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts26"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Management, Specialist and Technical","15703","41208","Development Manager","3.73","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts27"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Digital/AV Manager","2","Knowledge and Information Management (KIM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts28"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Digital/AV Officer","3","Knowledge and Information Management (KIM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts29"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Digital/AV Project Manager","2","Programme and Project Management (PPM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts30"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Digital/AV Technician","8.56","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts31"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Management, Specialist and Technical","15703","41208","Executive Support Assistant","6","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts32"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Senior Management and Senior Specialist","28331","54601","Executive Support Manager","1","Planning","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts33"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Administrative","13229","25755","Exhibitions/Design Assistant","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts34"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Exhibitions/Design Manager","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts35"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Exhibitions/Design Officer","6","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts36"
"Department for Culture, Media and Sport","National Maritime Museum","Exhibitions and Programmes","8","Management, Specialist and Technical","15703","41208","Exhibitions/Design Project Manager","5","Programme and Project Management (PPM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts37"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Museum Assistant","12610","19945","Facilities Assistant","28.74","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts38"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Senior Management and Senior Specialist","28331","54601","Facilities Manager","3","Property and Asset Management","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts39"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Management, Specialist and Technical","15703","41208","Facilities Officer","1","Property and Asset Management","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts40"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Management, Specialist and Technical","15703","41208","Facilities Manager","1","Property and Asset Management","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts41"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Administrative","13229","25755","Finance Assistant","5","Finance","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts42"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Management, Specialist and Technical","15703","41208","Finance Manager","1","Finance","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts43"
"Department for Culture, Media and Sport","National Maritime Museum","Finance and Enterprises","6","Senior Management and Senior Specialist","28331","54601","Finance Project Manager","2","Finance","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts44"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Museum Assistant","12610","19945","H&S/Security Assistant","31.4","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts45"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Management, Specialist and Technical","15703","41208","H&S/Security Manager","5","Property and Asset Management","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts46"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Management, Specialist and Technical","15703","41208","H&S/Security Officer","1","Property and Asset Management","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts47"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Administrative","13229","25755","Historic Ships Assistant","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts48"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Management, Specialist and Technical","15703","41208","Historic Ships Manager","1","Operational delivery","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts49"
"Department for Culture, Media and Sport","National Maritime Museum","Directorate","1","Senior Management and Senior Specialist","28331","54601","Historic Ships Project Manager","0.78","Programme and Project Management (PPM)","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts50"
"Department for Culture, Media and Sport","National Maritime Museum","Operations and HR","3","Administrative","13229","25755","HR Assistant","3.78","Human resources","/data/nmm/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts51"
