"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Director's Office","6","SMG","50000","75000","Senior Strategy/Support Manager","1","Policy","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts2"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Director's Office","6","SMG","50000","75000","Project Director","0.6","Policy","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts3"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Director's Office","6","Green London","22970","31307","Senior Strategy/Support Officer","1","Policy","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts4"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Director's Office","1","Green National","21302","29468","Senior Strategy/Support Officer","1","Policy","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts5"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Orange National","13343","17778","Finance Support Assistant","2","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts6"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Orange London","14551","19505","Finance Support Assistant","3","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts7"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Yellow National","16605","23248","Finance Support Officer","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts8"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Yellow London","17909","24519","Assistant Accountant","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts9"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Yellow London","17909","24519","Finance Support Officer","3","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts10"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Green London","22970","31307","Accountant","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts11"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Green London","22970","31307","Finance Officer","2","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts12"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Blue National","26627","36326","Accountant","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts13"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Blue London","28844","38844","Finance Manager","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts14"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Indigo London","35904","48128","Senior Accountant","0.8","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts15"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Indigo London","35904","48128","senior finance manager","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts16"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Enterprises 20-30k","20000","30000","Accountant","2","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts17"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Enterprises 30-40k","30000","40000","Finance Manager","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts18"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Enterprises 20-30k","20000","30000","Finance Officer","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts19"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Enterprises 10-20k","10000","20000","Finance Support Assistant","4.44","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts20"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Enterprises 20-30k","20000","30000","Finance Support Officer","2","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts21"
"Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","1","Enterprises 40-50k","40000","50000","Senior Accountant","1","Finance","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts22"
"Department for Culture, Media and Sport","National Museum of Science and Industry","HR & ICT","3","Orange London","14551","19505","Knowledge Information Management Support Assistant","2","Knowledge and Information Management (KIM)","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","juniorPosts23"
