"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 2","13679","15072","administrative Assistant","1.6","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts2"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 3","15989","17959","Administrative Officer","0.54","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts3"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 3","15989","17959","Assistant Curator","2.6","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts4"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 5","24464","29573","Curator","2","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts5"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 6","29924","35387","Head of Curatorial Section","2","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts6"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 7","38458","46622","Head of Curatorial Department","2","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts7"
"Department for Culture, Media and Sport","National Museums Liverpool","Art Galleries","2","Payband 8","49511","57804","Director of Art Galleries","1","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts8"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 2","13679","15072","Gallery Maintenance","0.82","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts9"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 2","13679","15072","Warehouse Assistant","1","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts10"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 3","15989","17959","Administrative Officer","1","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts11"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 3","15989","17959","Gallery Maintenance Team Leader","0.41","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts12"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 3","15989","17959","Technician","8","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts13"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 4","19854","22278","Administrator","1","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts14"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 4","19854","22278","Conservator","7","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts15"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 4","19854","22278","Photographer","2","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts16"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 4","19854","22278","Research Scientist","1","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts17"
"Department for Culture, Media and Sport","National Museums Liverpool","Collections Management","2","Payband 4","19854","22278","Senior Technician","4","Operational Delivery","/data/liverpoolmuseums/2011-03-31/Copy-of-NML-Information.xls","juniorPosts18"
