"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","AA & equivalent","12894","16330","Operations Support Officer","1.24","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts2"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","AO & equivalent","14588","23665","Administrator","11.52","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts3"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","AO & equivalent","14588","23665","Drugs Worker","1","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts4"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","AO & equivalent","14588","23665","Finance Officer","2","Finance","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts5"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","AO & equivalent","14588","23665","HR Officer","1","Human resources","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts6"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","AO & equivalent","14588","23665","Psychological Assistant","1","Psychology","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts7"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","EO & equivalent","18628","28038","Administrative Manager","3","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts8"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","EO & equivalent","18628","28038","Finance Manager","1","Finance","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts9"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","EO & equivalent","18628","28038","Psychologist","2.71","Psychology","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts10"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","HEO & equivalent","25105","32140","Catering Manager","1","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts11"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","HEO & equivalent","25105","32140","Professional Technical Officer","1","Science and Engineering","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts12"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","Industrial Grades","15012","22039","Industrial","7","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts13"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","Operational Manager","25105","46024","Operational Manager","4","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts14"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","Operational Support Grades","15705","18505","Operations Support Officer","36.59","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts15"
"Ministry of Justice","National Offender Management Service","Foston Hall","27","Principal Officer","31762","33537","Prison Officer","3","Operational delivery","/data/justice/2011-09-30/300911-NOMS---(24-11-11).xls","juniorPosts16"
