"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","National Patient Safety Agency","Corporate Services","7462444","Agenda For Change Band 4","18402","26157","Administrative and Clerical - Agenda for Change Band 4","1","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts2"
"Department of Health","National Patient Safety Agency","Corporate Services","7462444","Agenda For Change Band 6","25528","40406","Administrative and Clerical - Agenda for Change Band 6","1","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts3"
"Department of Health","National Patient Safety Agency","Corporate Services","7462444","Agenda For Change Band 8a","38851","52838","Administrative and Clerical - Agenda for Change Band 8a","2","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts4"
"Department of Health","National Patient Safety Agency","Corporate Services","7462444","Agenda For Change Band 8b","45254","62162","Administrative and Clerical - Agenda for Change Band 8b","1","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts5"
"Department of Health","National Patient Safety Agency","Corporate Services","7462444","Agenda For Change Band 8c","54545","73351","Administrative and Clerical - Agenda for Change Band 8c","2","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts6"
"Department of Health","National Patient Safety Agency","Corporate Services","7462444","Agenda For Change Band 9","77079","103695","Administrative and Clerical - Agenda for Change Band 9","1","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts7"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 4","18402","26157","Administrative and Clerical - Agenda for Change Band 4","4","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts8"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 5","21176","33150","Administrative and Clerical - Agenda for Change Band 5","4","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts9"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 6","25528","40406","Administrative and Clerical - Agenda for Change Band 6","2","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts10"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 7","30460","46374","Administrative and Clerical - Agenda for Change Band 7","4","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts11"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 8a","38851","52838","Administrative and Clerical - Agenda for Change Band 8a","2","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts12"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 8b","45254","62162","Administrative and Clerical - Agenda for Change Band 8b","1","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts13"
"Department of Health","National Patient Safety Agency","Corporate Services","7462451","Agenda For Change Band 8c","54545","73351","Administrative and Clerical - Agenda for Change Band 8c","1","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts14"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 4","18402","26157","Administrative and Clerical - Agenda for Change Band 4","6","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts15"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 5","21176","33150","Administrative and Clerical - Agenda for Change Band 5","6.6","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts16"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 6","25528","40406","Administrative and Clerical - Agenda for Change Band 6","4.6","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts17"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 7","30460","46374","Administrative and Clerical - Agenda for Change Band 7","8.2","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts18"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 8a","38851","52838","Administrative and Clerical - Agenda for Change Band 8a","2.6","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts19"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 8b","45254","62162","Administrative and Clerical - Agenda for Change Band 8b","6.4","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts20"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 8c","54545","73351","Administrative and Clerical - Agenda for Change Band 8c","8","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts21"
"Department of Health","National Patient Safety Agency","Patient Safety","7304611","Agenda For Change Band 8d","65270","87027","Administrative and Clerical - Agenda for Change Band 8d","2","Operational delivery","/data/npsa/2011-09-30/300911-NPSA-Organogram-Ver2.xls","juniorPosts22"
