"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003619","LOND 3A","43700","61812","Analyst","1","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts2"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","LOND 3A","43700","61812","Operational Researcher","1","Operational Research","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts3"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","LOND 3A","43700","61812","Specialist Advisor","2","Operational Delivery","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts4"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","LOND 3B","56500","79552","Senior Operational Researcher","1","Operational Research","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts5"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 1B","19250","25714","Administrator","1","Policy","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts6"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 2A","22000","32142","Analyst","2","Operational Delivery","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts7"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 2A","22000","32142","Communications Support Officer","0.5","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts8"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 2A","22000","32142","IT Specialist","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts9"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 2B","27500","40178","Analyst","1.55","Operational Delivery","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts10"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 3A","37700","54642","Communications Manager","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts11"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003626","NAT 3A","37700","54642","Specialist Advisor","1","Operational Delivery","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts12"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003629","LOND 2A","27000","38117","Analyst","3","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts13"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003629","LOND 2B","32500","46359","IT Developer","3","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts14"
"Home Office","National Policing Improvement Agency","CEO Directorate","50003629","LOND 3A","43700","61812","IT Specialist","1","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts15"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 1B","23000","32194","Administrator","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts16"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 1B","23000","32194","Private Secretary","2","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts17"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 2A","27000","38117","Communications Support Officer","2","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts18"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 2A","27000","38117","Marketing Manager","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts19"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 2B","32500","46359","Communications Manager","0.8","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts20"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 2B","32500","46359","Senior Press Officer","3","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts21"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 3A","43700","61812","Communications Manager","4","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts22"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","LOND 3B","56500","79552","Communications Manager","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts23"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 1A","16050","20685","IT Support Officer","1","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts24"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 1B","19250","25714","Administrator","3","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts25"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 1B","19250","25714","Events Co-ordinator","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts26"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 1B","19250","25714","IT Support Officer","2","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts27"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 2A","22000","32142","Communications Support Officer","2","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts28"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 2A","22000","32142","Events Co-ordinator","4","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts29"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 2A","22000","32142","Information and Risk Manager","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts30"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 2A","22000","32142","IT Developer","1","Information Technology","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts31"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 2A","22000","32142","Marketing Manager","1","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts32"
"Home Office","National Policing Improvement Agency","CEO Directorate","50005563","NAT 2B","27500","40178","Communications Manager","3","Communications","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","juniorPosts33"
