"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Curators","8.1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts2"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 2","27000","34999","Curatorial staff","3.6","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts3"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Curatorial staff","8.1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts4"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 1","35000","46999","Exhibitions & Collections Mgmt","4.8","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts5"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 2","27000","34999","Exhibitions & Collections Mgmt","2","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts6"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Exhibitions staff","2","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts7"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Collections staff","4.8","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts8"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 1","35000","46999","Design staff","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts9"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Design staff","2.7","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts10"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Trainee/Internship","12646","16999","Design staff","0.5","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts11"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 2","27000","34999","Art Handling staff","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts12"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Art Handling staff","4.58","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts13"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 1","35000","46999","Conservation staff","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts14"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 2","27000","34999","Conservation staff","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts15"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Conservation staff","2.4","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts16"
"Department for Culture, Media and Sport","National Portrait Gallery","Learning","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Learning & Access staff","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts17"
"Department for Culture, Media and Sport","National Portrait Gallery","Learning","Dir01","Mgrs & Museum Professionals 1","35000","46999","Learning & Access staff","3.2","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts18"
"Department for Culture, Media and Sport","National Portrait Gallery","Learning","Dir01","Mgrs & Museum Professionals 2","27000","34999","Learning & Access staff","7.5","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts19"
"Department for Culture, Media and Sport","National Portrait Gallery","Learning","Dir01","Museum,Technical & Administration","20000","26999","Learning & Access staff","4.26","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts20"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Archive & Library staff","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts21"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 2","27000","34999","Archive & Library staff","1.8","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts22"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Archive & Library staff","6.8","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts23"
"Department for Culture, Media and Sport","National Portrait Gallery","Communications & Development","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Communications & Development staff","1","Communications","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts24"
"Department for Culture, Media and Sport","National Portrait Gallery","Communications & Development","Dir01","Mgrs & Museum Professionals 1","35000","46999","Communications & Development staff","3.6","Communications","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts25"
"Department for Culture, Media and Sport","National Portrait Gallery","Communications & Development","Dir01","Mgrs & Museum Professionals 2","27000","34999","Communications & Development staff","6","Communications","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts26"
"Department for Culture, Media and Sport","National Portrait Gallery","Communications & Development","Dir01","Museum,Technical & Administration","20000","26999","Communications & Development staff","7.3","Communications","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts27"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 1","35000","46999","Digitial Programmes","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts28"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Mgrs & Museum Professionals 2","27000","34999","Digitial Programmes","3","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts29"
"Department for Culture, Media and Sport","National Portrait Gallery","Director's Office & Curatorial","Dir01","Museum,Technical & Administration","20000","26999","Digitial Programmes","5","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts30"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Resources Mgmt","1","Other","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts31"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","Mgrs & Museum Professionals 1","35000","46999","Resources staff","8.6","Other","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts32"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","Mgrs & Museum Professionals 2","27000","34999","Resources staff","3.5","Other","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts33"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","Museum,Technical & Administration","20000","26999","Resources staff","7.85","Other","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts34"
"Department for Culture, Media and Sport","National Portrait Gallery","Finance","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Finance Mgmt","1","Finance","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts35"
"Department for Culture, Media and Sport","National Portrait Gallery","Finance","Dir01","Mgrs & Museum Professionals 1","35000","46999","Finance staff","1.6","Finance","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts36"
"Department for Culture, Media and Sport","National Portrait Gallery","Finance","Dir01","Mgrs & Museum Professionals 2","27000","34999","Finance staff","2","Finance","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts37"
"Department for Culture, Media and Sport","National Portrait Gallery","Trading","Dir01","SnrMgmt/Curators/Specialist","47000","71000","Trading Mgmt","1","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts38"
"Department for Culture, Media and Sport","National Portrait Gallery","Trading","Dir01","Mgrs & Museum Professionals 1","35000","46999","Trading & Retail staff","5.8","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts39"
"Department for Culture, Media and Sport","National Portrait Gallery","Trading","Dir01","Mgrs & Museum Professionals 2","27000","34999","Trading & Retail staff","5","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts40"
"Department for Culture, Media and Sport","National Portrait Gallery","Trading","Dir01","Museum,Technical & Administration","20000","26999","Trading & Retail staff","5","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts41"
"Department for Culture, Media and Sport","National Portrait Gallery","Trading","Dir01","Visitor Services & Retail","17000","21999","Trading & Retail staff","9.75","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts42"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","Mgrs & Museum Professionals 2","27000","34999","Visitor Services & Security","3","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts43"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","Museum,Technical & Administration","20000","26999","Visitor Services & Security","8","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts44"
"Department for Culture, Media and Sport","National Portrait Gallery","Resources","Dir01","Visitor Services & Retail","17000","21999","Visitor Services & Security","48.5","Operational delivery","/data/npg/2011-09-30/NPG-staff-and-salary-data-FINAL-r.xls","juniorPosts45"
