"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Adviser","20000","26620","Adviser","4.42","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Delivery Leader","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Delivery Manager","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Head of","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Lead Adviser","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Personal Assistant","3","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Adviser","20000","26620","Personal Assistant","3","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Specialist","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Natural England","Board and Executive Services","1","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Team Leader","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Adviser","20000","26620","Adviser","59.5","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Delivery Leader","8.65","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Delivery Manager","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Lead Adviser","9","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Manager","4","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Reserve Manager","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Adviser","20000","26620","Assistant Reserve Manager","2.82","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Support Adviser","16000","19890","Reserve Warden","1.67","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Senior Specialist","6","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Specialist","5.57","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts20"
"Department for Environment, Food and Rural Affairs","Natural England","East Midlands Region","12","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Team Leader","7","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts21"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Adviser","20000","26620","Adviser","27.3","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts22"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Delivery Leader","11.42","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts23"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Delivery Manager","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts24"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Lead Adviser","69.8","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts25"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Manager","3","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts26"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Reserve Manager","8","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts27"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Adviser","20000","26620","Assistant Reserve Manager","3","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts28"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Support Adviser","16000","19890","Reserve Warden","12.65","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts29"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Senior Specialist","7.13","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts30"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Specialist","7.74","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts31"
"Department for Environment, Food and Rural Affairs","Natural England","East of England Region","17","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Team Leader","11","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts32"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Adviser","20000","26620","Adviser","0.62","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts33"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Delivery Leader","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts34"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Head of","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts35"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Manager","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts36"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Principal Specialist","10","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts37"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Senior Specialist","30.2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts38"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Specialist","11.51","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts39"
"Department for Environment, Food and Rural Affairs","Natural England","Environmental Advice and Analysis","19","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Team Leader","5","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts40"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Adviser","20000","26620","Adviser","2.55","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts41"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Delivery Leader","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts42"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Delivery Manager","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts43"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Head of","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts44"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Senior Specialist","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts45"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Lead Adviser/Specialist/Group Co-Ordinator","24120","32744","Specialist","2","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts46"
"Department for Environment, Food and Rural Affairs","Natural England","Estates & Facilities","18","Support Adviser","16000","19890","Support Adviser","1","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts47"
"Department for Environment, Food and Rural Affairs","Natural England","Evidence","19","Adviser","20000","26620","Adviser","14.61","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts48"
"Department for Environment, Food and Rural Affairs","Natural England","Evidence","19","Delivery Leader/Senior Specialist/Team Leader","30275","40550","Delivery Leader","16.9","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts49"
"Department for Environment, Food and Rural Affairs","Natural England","Evidence","19","Delivery Manager/Principal Specialist/Team Manager","39850","56100","Delivery Manager","3","Operational Delivery","/data/naturalengland/2011-03-31/Natural-England-staff-and-salary-data-template---March-2011.xls","juniorPosts50"
