"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Band 1","64605","83896","Director","1","Human resources","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Band 1","64605","83896","Director","1","Policy","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Band 1","64605","83896","Director","1","Property and Asset Management","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Administrative B (Admin B)","20268","22889","Finance Support Officer","3","Finance","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 1 (TP1)","23000","26942","Finance Support Officer","1","Finance","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","Finance Support Officer","5","Finance","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","Health & Safety Adviser","1","Human resources","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","Health & SafetySupport Officer","1","Human resources","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","HR Officer","4","Human resources","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","HR support officer","5","Human resources","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 2 (TP2)","26000","31217","Operational Manager","1","Operational delivery","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","Operational Manager","0.75","Operational delivery","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Technical & Professional 3 (TP3)","30500","36620","Operational Manager","1","Property and Asset Management","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","Natural History Museum","Finance & Corporate Services","470","Front of House B (FOH B)","19227","22889","Operations Support Officer","1","Operational delivery","/data/nhm/2011-09-30/NHM-Organograms---September-2011.xls","juniorPosts15"
