"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","NHS Blood and Transplant","Human Resources Directorate","2556185","6","25472","40406","Office Manager","1","Operational Delivery","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts2"
"Department of Health","NHS Blood and Transplant","Human Resources Directorate","2556185","4","18152","26157","diary manager","1","Operational Delivery","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts3"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","8c","54454","73351","Senior Communications Manager","1","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts4"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","8a","38851","52838","Senior Communications Manager","4","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts5"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","7","30460","46374","Communications Manager","9","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts6"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","6","25472","40406","Communications Officer","7","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts7"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","5","21176","33040","Communications Officer","17.4","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts8"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","4","18152","26157","Communications Support Officer","2","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts9"
"Department of Health","NHS Blood and Transplant","Communications Directorate","4997689","3","15610","22613","Communications Support Officer","2","Communications","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts10"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","8c","54454","73351","senior finance manager","10","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts11"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","8b","45254","62162","senior finance manager","7.09","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts12"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","8a","38851","52838","senior finance manager","2.91","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts13"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","7","30460","46374","Finance Manager","18","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts14"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","6","25472","40406","Finance Officer","14","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts15"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","5","21176","33040","Finance Officer","29.38","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts16"
"Department of Health","NHS Blood and Transplant","Finance Directorate","2556829","4","18152","26157","Finance Support Officer","26.01","Finance","/data/nhsbt/2011-03-31/government-staff-and-salary-data---NHSBT.xls","juniorPosts17"
