"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 6","25528","34189","Executive Assistant","1","Operational delivery","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 3","15860","18827","Clerical Worker","1","Operational delivery","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 8A","38851","46621","Manager","2","Operational delivery","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 8C","54454","67134","Manager","1","Operational delivery","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 1","13903","14614","Porter","4","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 2","13903","17003","Finance Support Officer","16.03","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 3","15860","18827","Finance Officer","6.68","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 4","18402","21798","Finance Officer","11.41","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 5","21176","27625","Manager","10.15","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 6","25528","34189","Finance Officer","11.52","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 7","30460","40157","Finance Officer","9","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 8A","38851","46621","Senior Finance Manager","7.55","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts13"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 8B","45254","55945","Senior Finance Manager","2","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts14"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 8C","54454","67134","Senior Finance Manager","1","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts15"
"Department of Health","NHS Business Services Authority","Finance","9304020","Band 8D","65270","80810","Senior Finance Manager","1","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts16"
"Department of Health","NHS Business Services Authority","Finance","9304020","Level 4","35513","44876","Clerical Worker","0.81","Finance","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts17"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 2","13903","17003","HR support officer","0.6","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts18"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 3","15860","18827","HR Officer","6.81","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts19"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 4","18402","21798","HR Officer","5.2","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts20"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 5","21176","27625","Personal Assistant","2","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts21"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 6","25528","34189","HR Officer","9.27","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts22"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 7","30460","40157","HR Officer","2","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts23"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 8A","38851","46621","Senior HR Manager","7.8","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts24"
"Department of Health","NHS Business Services Authority","People and Organisational Development","7151125","Band 8B","45254","55945","Senior HR Manager","1","Human resources","/data/ppa/2011-09-30/government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts25"
