"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","NHS Information Centre for Health and Social Care","Chief Executive","3497619","band 8c","54454","67134","Office Manager","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts2"
"Department of Health","NHS Information Centre for Health and Social Care","Chief Executive","9016421","band 5","21176","27625","Executive Assistant","3","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts3"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","5174983","band 8d","65270","80810","Programme Head","5.85","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts4"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","5174983","band 8c","54454","67134","Programme Manager","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts5"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 8c","54454","67134","Programme Manager","3","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts6"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 8b","45254","55945","Section Head","9","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts7"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 8a","38851","46621","Principal Analyst","11.8","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts8"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 7","30460","40157","Senior Analyst","16","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts9"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 6","25528","34189","Higher Analyst","7.8","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts10"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 5","21176","27625","Analyst","11","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts11"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497352","band 4","18402","21798","Project support officer","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts12"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","7477667","band 8b","45254","55945","Section Head","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts13"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","7477667","band 7","30460","40157","Senior Analyst","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts14"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","7477667","band 5","21176","27625","Senior Business Support Officer","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts15"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497239","band 8b","45254","55945","Section Head","2","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts16"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497239","band 8a","38851","46621","Principal Analyst","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts17"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497239","band 7","30460","40157","Senior Analyst","7","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts18"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497239","band 6","25528","34189","Higher Analyst","4","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts19"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","3497239","band 5","21176","27625","Analyst","3","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts20"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","6690588","band 8d","65270","80810","Senior Project Manager","1","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts21"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","6690588","band 8c","54454","67134","Programme Manager","4","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts22"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","6690588","band 8b","45254","55945","Senior Project Manager","11.5","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts23"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","6690588","band 8a","38851","46621","Project Manager","14.24","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts24"
"Department of Health","NHS Information Centre for Health and Social Care","Informatics","6690588","band 7","30460","40157","Senior Analyst","7","Knowledge and Information Management (KIM)","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","juniorPosts25"
