"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","4","A (MoJ)","50534","67969","Head of Unit","4","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts2"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","4","B (MoJ)","35188","44964","Senior Executive Officer","2.94","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts3"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","4","C (MoJ)","29495","36061","Higher Executive Officer","5","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts4"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","4","D (MoJ)","24007","28000","Executive Officer","2.62","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts5"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","4","E (MoJ)","19135","22250","Administrative Officer","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts6"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","5","A (MoJ)","50534","67969","Head of Unit","2","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts7"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","5","B (MoJ)","35188","44964","Senior Executive Officer","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts8"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","5","C (MoJ)","29495","36061","Higher Executive Officer","3","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts9"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","5","D (MoJ)","24007","28000","Executive Officer","2","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts10"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","5","E (MoJ)","19135","22250","Administrative Officer","4.6","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts11"
"Northern Ireland Office","Northern Ireland Office","Constitutional and Political Group","5","F (MoJ)","16737","18700","administrative Assistant","0.81","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts12"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","B (MoJ)","35188","44964","Senior Executive Officer","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts13"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","C (MoJ)","29495","36061","Higher Executive Officer","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts14"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","D (MoJ)","24007","28000","Executive Officer","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts15"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","3","A (MoJ)","50534","67969","Head of Unit","4","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts16"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","3","B (MoJ)","35188","44964","Senior Executive Officer","3","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts17"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","3","C (MoJ)","29495","36061","Higher Executive Officer","7","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts18"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","3","D (MoJ)","24007","28000","Executive Officer","11","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts19"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","3","E (MoJ)","19135","22250","Administrative Officer","17.32","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts20"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","3","F (MoJ)","16737","18700","administrative Assistant","22.24","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts21"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","A (MoJ)","50534","67969","Head of Unit","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts22"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","C (MoJ)","29495","36061","Higher Executive Officer","3","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts23"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","D (MoJ)","24007","28000","Executive Officer","3.56","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts24"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","E (MoJ)","19135","22250","Administrative Officer","3","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts25"
"Northern Ireland Office","Northern Ireland Office","Business Delivery Group","2","F (MoJ)","16737","18700","administrative Assistant","0.56","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts26"
"Northern Ireland Office","Northern Ireland Office","Director General's Office","1","D (MoJ)","24007","28000","Executive Officer","1","Policy","/data/nio/2011-03-31/NIO---March-2011.xls","juniorPosts27"
