"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Office of Qualifications and Examinations Regulation","Strategic Management","CS001","Grade C","21983","31423","Administrator","4","Programme and Project Management (PPM)","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts2"
"Department for Education","Office of Qualifications and Examinations Regulation","Strategic Management","CS001","Grade D","31019","43832","Manager","6","Programme and Project Management (PPM)","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts3"
"Department for Education","Office of Qualifications and Examinations Regulation","Strategic Management","CS001","Grade E","42383","68310","Team Leader","5","Programme and Project Management (PPM)","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts4"
"Department for Education","Office of Qualifications and Examinations Regulation","Strategic Management","CS001","Grade F","69863","85388","Head of Service","1","Programme and Project Management (PPM)","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts5"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade B","0","0","Administrator","2.8","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts6"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade C","21983","31423","Coordinator","2","Human Resources","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts7"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade C","21983","31423","Officer","8","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts8"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade D","31019","43832","Manager","2","Communications","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts9"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade D","31019","43832","Manager","5","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts10"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade D","31019","43832","Manager","3","Human Resources","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts11"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade E","42383","68310","Team Leader","1","Human Resources","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts12"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade E","42383","68310","Team Leader","4","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts13"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade E","42383","68310","Team Leader","1","Communications","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts14"
"Department for Education","Office of Qualifications and Examinations Regulation","Internal and External Affairs","CM001","Grade F","69863","85388","Head of Service","1","Communications","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts15"
"Department for Education","Office of Qualifications and Examinations Regulation","Regulation","REG001","Grade B","0","0","Administrator","3","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts16"
"Department for Education","Office of Qualifications and Examinations Regulation","Regulation","REG001","Grade C","21983","31423","Coordinator","17","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts17"
"Department for Education","Office of Qualifications and Examinations Regulation","Regulation","REG001","Grade D","31019","43832","Manager","26.59","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts18"
"Department for Education","Office of Qualifications and Examinations Regulation","Regulation","REG001","Grade E","42383","68310","Team Leader","11.7","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts19"
"Department for Education","Office of Qualifications and Examinations Regulation","Regulation","REG001","Grade F","69863","85388","Head of Service","3","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts20"
"Department for Education","Office of Qualifications and Examinations Regulation","Standards","STD044","Grade B","0","0","Administrator","3","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts21"
"Department for Education","Office of Qualifications and Examinations Regulation","Standards","STD044","Grade C","21983","31423","Coordinator","23","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts22"
"Department for Education","Office of Qualifications and Examinations Regulation","Standards","STD044","Grade D","31019","43832","Manager","15","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts23"
"Department for Education","Office of Qualifications and Examinations Regulation","Standards","STD044","Grade E","42383","68310","Team Leader","10","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts24"
"Department for Education","Office of Qualifications and Examinations Regulation","Standards","STD044","Grade F","69863","85388","Head of Service","3","Operational Delivery","/data/Ofqual/2011-03-31/Ofqual-Staff-posts-and-Salary-data.xls","juniorPosts25"
