"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","2","Band A = Grade 6/7","43736","67969","Principal Legal Officer","1","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts2"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","2","Band A = Grade 6/7","43736","67969","Principal Legal Officer","1","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts3"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","2","Band C = HEO","25165","36061","Private Secretary","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts4"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","2","Band D = EO","22173","28000","Assistant Private Secretary","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts5"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","2","Band D = EO","22173","28000","Diary secretary","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts6"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band B = SEO","32249","44964","Business Manager","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts7"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band D = EO","22173","28000","Assistant Business Manager and PA to Director","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts8"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band E/F = Admin","15792","22250","Business Support Administrator","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts9"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band E/F = Admin","15792","22250","Business Support Administrator","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts10"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band E/F = Admin","15792","22250","Business Support Administrator","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts11"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band E/F = Admin","15792","22250","Business Support Administrator","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts12"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band E/F = Admin","15792","22250","Business Support Administrator","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts13"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","1","Band E/F = Admin","15792","22250","Business Support Administrator","1","Operational delivery","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts14"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","0.5","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts15"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","0.6","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts16"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","0.5","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts17"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","1","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts18"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","1","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts19"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","1","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts20"
"Office of the Advocate General for Scotland","Office of the Advocate General of Scotland","Office of the Advocate General for Scotland","3","Band A = Grade 6/7","43736","67969","Principal Legal Officer","1","Law","/data/advocategeneral/2011-09-30/300911-Transparency-Data-for-government-staff-and-salary-OAG-template---November--2011.xls","juniorPosts21"
