"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","AO (or equivalent)","18107","23109","administrative Assistant","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts2"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","AO (or equivalent)","18107","23109","Finance and Performance Officer","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts3"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","HEO (or equivalent)","26260","36760","HR Officer","0.64","Human Resources","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts4"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","HEO (or equivalent)","26260","36760","Executive Assistant","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts5"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","EO (or equivalent)","21080","27310","PA for OCC","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts6"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","EO (or equivalent)","21080","27310","Information Officer","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts7"
"Department for Education","Office of the Children's Commissioner","Corporate Services","104","SEO (or equivalent)","29411","39915","Performance and Planning Manager","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts8"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","Grade 7 (or equivalent)","39915","57722","Principal Policy Adviser - Child Sexual Exploitation","0.5","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts9"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","Grade 7 (or equivalent)","39915","57722","Principal Policy Adviser - Education","0.81","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts10"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","Grade 7 (or equivalent)","39915","57722","Principal Policy Adviser - Children's Rights","0.6","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts11"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","Grade 7 (or equivalent)","39915","57722","Principal Policy Adviser - Health","0.4","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts12"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","Grade 7 (or equivalent)","39915","57722","Principal Policy Adviser - Safeguarding","1","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts13"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","Grade 7 (or equivalent)","39915","57722","Principal Policy Adviser - Youth Justice","1","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts14"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","SEO (or equivalent)","29411","39915","Senior Policy Adviser - Asylum and Immigration","1","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts15"
"Department for Education","Office of the Children's Commissioner","Policy Team","103","SEO (or equivalent)","29411","39915","Senior Policy Adviser - Equalities and Rights","1","Policy","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts16"
"Department for Education","Office of the Children's Commissioner","Policy Team","102","EO (or equivalent)","21080","27310","Participation Officer","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts17"
"Department for Education","Office of the Children's Commissioner","Communications and Participation Team","102","Grade 7 (or equivalent)","39915","57722","Principal Participation Officer","1","Operational Delivery","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts18"
"Department for Education","Office of the Children's Commissioner","Communications and Participation Team","102","EO (or equivalent)","21080","27310","Communications Officer","1","Communications","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts19"
"Department for Education","Office of the Children's Commissioner","Communications and Participation Team","102","SEO (or equivalent)","29411","39915","Senior Communications Officer","2","Communications","/data/childrenscommissioner/2011-03-31/Copy-of-11-06-08-Approved-version-government-staff-and-salary-data---March-2011-v4.xls","juniorPosts20"
