"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Office of the Immigration Services Commissioner","Operational Management","oisc2","Grade 7","40000","55000","Senior Operational Manager","1","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts2"
"Home Office","Office of the Immigration Services Commissioner","HR and training","oisc2","SEO","30000","45000","HR Officer","1","Human resources","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts3"
"Home Office","Office of the Immigration Services Commissioner","IT","oisc2","SEO","30000","45000","IT Manager","1","Information Technology","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts4"
"Home Office","Office of the Immigration Services Commissioner","Policy, publications and stakeholders","oisc2","SEO","30000","45000","Operational Manager","1","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts5"
"Home Office","Office of the Immigration Services Commissioner","Finance","oisc2","SEO","30000","45000","Finance Officer","1","Finance","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts6"
"Home Office","Office of the Immigration Services Commissioner","Casework","oisc1","HEO","20000","35000","Operational Manager","14","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts7"
"Home Office","Office of the Immigration Services Commissioner","Intelligence and Investigations","oisc1","EO","18000","25000","Operations Support Officer","2","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts8"
"Home Office","Office of the Immigration Services Commissioner","Casework","oisc1","EO","18000","25000","Operations Support Officer","5","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts9"
"Home Office","Office of the Immigration Services Commissioner","Casework","oisc2","AO","15000","20000","Operations Support Officer","11","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts10"
"Home Office","Office of the Immigration Services Commissioner","Office support","oisc1","AO","15000","20000","Private Secretary","2","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts11"
"Home Office","Office of the Immigration Services Commissioner","Intelligence and Investigations","oisc1","HEO","20000","35000","Senior Operational Researcher","11.5","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts12"
"Home Office","Office of the Immigration Services Commissioner","Office support","oisc2","HEO","20000","35000","Office Manager","6.5","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts13"
"Home Office","Office of the Immigration Services Commissioner","IT","oisc2","HEO","20000","35000","IT Support Officer","2","Information Technology","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts14"
"Home Office","Office of the Immigration Services Commissioner","Casework","oisc1","HEO","20000","35000","Operational Manager","1","Operational delivery","/data/oisc/2011-09-30/Copy-of-government-staff-and-salary-OISC_-October-2011.xls","juniorPosts15"
