"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Ofsted","Human resources and Organisational Development","HR1","Band A","54633","55179","Senior Professional","4.8","Human resources","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts2"
"Department for Education","Ofsted","Human resources and Organisational Development","HR1","B1","34671","35018","Professional","12","Human resources","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts3"
"Department for Education","Ofsted","Human resources and Organisational Development","HR1","B2","27842","28120","Senior Officer","10.15","Human resources","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts4"
"Department for Education","Ofsted","Human resources and Organisational Development","HR1","B3","20737","20995","Officer","10.9","Human resources","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts5"
"Department for Education","Ofsted","Human resources and Organisational Development","HR1","C1","17060","17228","Administrator","10","Human resources","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts6"
"Department for Education","Ofsted","Information Services","ISD1","PO","68291","68974","Principal Officer","4","Information Technology","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts7"
"Department for Education","Ofsted","Information Services","ISD1","Band A","54633","55179","Senior Professional","6","Information Technology","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts8"
"Department for Education","Ofsted","Information Services","ISD1","B1","34671","35018","Professional","8","Information Technology","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts9"
"Department for Education","Ofsted","Information Services","ISD1","B2","27842","28120","Senior Officer","7","Information Technology","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts10"
"Department for Education","Ofsted","Information Services","ISD1","B3","20737","20995","Officer","3","Information Technology","/data/ofsted/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011-V3.xls","juniorPosts11"
