"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 1","21646","43291","PA/Team Administrator","1","Operational delivery","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts2"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 2","32469","54113","Accountant","1","Procurement","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts3"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 2","32469","54113","Co-ordinator","1","Programme and Project Management (PPM)","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts4"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 2","32469","54113","Commercial Manager","1","Procurement","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts5"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 3","43291","97404","Internal Auditor","1","Programme and Project Management (PPM)","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts6"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 3","43291","97404","Procurement Manager","1","Procurement","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts7"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 3","43291","97404","Senior policy adviser","1","Operational delivery","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts8"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Commercial and Legal","15","Band 3","43291","97404","Senior Procurement Manager","4","Procurement","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts9"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Communications","6","Band 1","21646","43291","Communications support officer","8","Communications","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts10"
"Department for Culture, Media and Sport","Olympic Delivery Authority","Communications","6","Band 1","21646","43291","Co-ordinator","1","Communications","/data/london2012/2011-09-30/Olympic_-Delivery_-Authority_-Staff_-and_-Salary_-data_-20110930.xls","juniorPosts11"
