"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","2B","20543","25985","Account Executive","11","Operational Delivery","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts2"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","Account Manager","29","Operational Delivery","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts3"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Account Officer","4.3","Finance","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts4"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Assistant Branch Secretary","0.41","Human Resources","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts5"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Auditor","2","Internal Audit","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts6"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Bus Process Analyst","2","Operational Delivery","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts7"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Business Centre Executive","1.41","Property and asset management","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts8"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","Business Consultant - Commercial Markets","0.6","Operational Delivery","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts9"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Business Info Specialist","1","Communications","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts10"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Business Info Specialist","2.57","Operational Delivery","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts11"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","2B","20543","25985","Business Systems Support","2.62","Information Technology","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts12"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Carto Data Consultant","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts13"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Carto General Manager","2","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts14"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Carto Production Manager","5","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts15"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Carto SDM - Quality & Design","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts16"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Cartographer","63.6","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts17"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Communications Executive","1","Communications","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts18"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Communications Executive","2","Operational Delivery","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts19"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Compensation & Benefits Manager","1","Human Resources","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts20"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Contract Manager - ExtFulfil","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts21"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corp Office Consultant","3","Communications","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts22"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4C","45684","56100","Corporate Data Manager","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts23"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Identity Support","1","Communications","/data/ordnancesurvey/2011-03-31/Ordnance-Survey-Transparency-Data---March-2011.xls","juniorPosts24"
