"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","2B","20543","25985","Account Executive","12","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts2"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","Account Manager","26.61","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts3"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Account Officer","5.29","Finance","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts4"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Auditor","2","Internal Audit","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts5"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Bus Process Analyst","2","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts6"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Business Centre Executive","1.41","Property and Asset Management","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts7"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","Business Consultant - Commercial Markets","0.6","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts8"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Business Info Specialist","1","Finance","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts9"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Business Info Specialist","2.57","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts10"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","6","2B","20543","25985","Business Systems Support","2.62","Information Technology","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts11"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","Carto Data Consultant","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts12"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","4B","41531","51000","B2C Commercial Channel Manager","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts13"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","4B","41531","51000","B2C Digital Channel Manager","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts14"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","4B","41531","51000","Carto General Manager","2","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts15"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","Carto Production Manager","5","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts16"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3C","30644","38760","Carto SDM - Quality & Design","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts17"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","2B","20543","25985","Cartographer","54.6","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts18"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","Carto Design Consultant","4","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts19"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Communications Executive","2.81","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts20"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Compensation & Benefits Manager","1","Human resources","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts21"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Contract Manager - ExtFulfil","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts22"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corp Office Consultant","3","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts23"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","4C","45684","56100","Corporate Data Manager","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts24"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Identity Support","1","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts25"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Image Provider","0.68","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts26"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corporate Marketing Manager","0.61","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts27"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Corporate Office FOI & Support Officer","0.81","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts28"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","2A","17741","22440","Corporate Resilience Coordinator","1","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts29"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corporate Social Responsibility Manager","1","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts30"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Contract Manager - Print","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts31"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","S&MD Operations Manager","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts32"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","2B","20543","25985","CSC Service Advisor","16.35","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts33"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","CSC Service Delivery Manager","3","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts34"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Data Lab Research Manager","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts35"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","1C","14919","18870","Data Supply Officer","3","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts36"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Data Supply Specialist","3.16","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts37"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Customer Data Manager","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts38"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Data Supply Technician/Tester1","4","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts39"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","1C","14919","18870","DC&M Admin & Tech Support","11.43","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts40"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","DC&M Consultant","18.61","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts41"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","2B","20543","25985","DC&M Data Controller","14.02","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts42"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","DC&M Delivery Manager","4.8","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts43"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","4B","41531","51000","DC&M General Manager","4.97","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts44"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","4B","41531","51000","DC&M Principal Consultant","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts45"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3C","30644","38760","DC&M Senior Consultant","7","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts46"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3C","30644","38760","DC&M Service Delivery Manager","15.47","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts47"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","2B","20543","25985","DC&M Technical Specialist","31.7","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts48"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","SMH","60000","80000","DCM Head of Production","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts49"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","SMH","60000","80000","DCM Head of Service Delivery","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts50"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","Designer","4","Information Technology","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts51"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","6","3B","27418","34680","Developer","24.61","Information Technology","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts52"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Dig Supply Business Information Analyst","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts53"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","DC&M Production Manager","19","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts54"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Dig Supply Production Manager","3","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts55"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","Domain Manager","5","Information Technology","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts56"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","2B","20543","25985","Events coordinator","2","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts57"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","2C","22842","28050","Exec Assistant & Admin","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts58"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Finance Admin","5.3","Finance","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts59"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","4A","36289","45900","Finance Manager","3.81","Finance","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts60"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","Financial Analyst","7.47","Finance","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts61"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","GD Senior Consultant","1","Knowledge and Information Management (KIM)","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts62"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","4B","41531","51000","General Manager Consultancy Service","1","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts63"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","GDMS Operations Manager","1","Information Technology","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts64"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","1","1C","14919","18870","Generic PA/Admin","0.54","Communications","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts65"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","2","1C","14919","18870","Generic PA/Admin","2","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts66"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Generic PA/Admin","1","Finance","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts67"
"Ordnance Survey","Ordnance Survey","Ordnance Survey","4","1C","14919","18870","Generic PA/Admin","1.81","Operational delivery","/data/ordnancesurvey/2011-09-30/300911-OS-SCS-data.xls","juniorPosts68"
