"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Parole Board","N/A","PB2","Grade 6","56971","70504","Deputy Chief Executive and Head of Operations","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts2"
"Ministry of Justice","Parole Board","N/A","PB2","Grade 6","56971","70504","Director of Performance & Development","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts3"
"Ministry of Justice","Parole Board","N/A","PB2","Grade 6","56971","70504","Director of Quality &Standards","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts4"
"Ministry of Justice","Parole Board","N/A","PB2","Grade 7","46506","57553","Head of Quality Unit","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts5"
"Ministry of Justice","Parole Board","N/A","PB2","Grade 7","46506","57553","Head of Casework","1","Operational Research","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts6"
"Ministry of Justice","Parole Board","N/A","PB2","Grade 7","46506","57553","Head of Communications","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts7"
"Ministry of Justice","Parole Board","N/A","PB2","SEO Accountant","37580","43760","Head of Finance","1","Communications","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts8"
"Ministry of Justice","Parole Board","N/A","PB2","SEO","33953","39537","Senior Operations Manager","1","Finance","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts9"
"Ministry of Justice","Parole Board","N/A","PB2","SEO","33953","39537","Training Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts10"
"Ministry of Justice","Parole Board","N/A","PB2","SEO","33953","39537","Deputy Head of Casework","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts11"
"Ministry of Justice","Parole Board","N/A","PB2","HEO","26345","30989","Reviews Team Manager","3","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts12"
"Ministry of Justice","Parole Board","N/A","PB2","SEO","33953","39537","Reviews Team Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts13"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Case Managers Reviews Team A","7","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts14"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Case Managers Reviews Team B","6.9","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts15"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Case Managers Reviews Team C","4.8","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts16"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Case Managers Reviews Team D","6.8","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts17"
"Ministry of Justice","Parole Board","N/A","PB2","HEO","26345","30989","CMS Project Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts18"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Team Support","2","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts19"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Team Support","2","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts20"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Team Support","3.6","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts21"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Team Support","4","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts22"
"Ministry of Justice","Parole Board","N/A","PB2","HEO","26345","30989","Listings & Rota Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts23"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Panel Listings Officer","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts24"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Post Team","2","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts25"
"Ministry of Justice","Parole Board","N/A","PB2","AA","14924","15701","Reprographics","2","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts26"
"Ministry of Justice","Parole Board","N/A","PB2","HEO","26345","30989","Re4Re Team Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts27"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Re4Re Panel Administrators","7","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts28"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Re4Re Ofice Support","3","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts29"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Paper Recalls Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts30"
"Ministry of Justice","Parole Board","N/A","PB2","AO","16518","18657","Recall Administrative Support","3","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts31"
"Ministry of Justice","Parole Board","N/A","PB2","HEO","26345","30989","Post Panel Team Manager","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts32"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Post Panel Office Caseworkers","3","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts33"
"Ministry of Justice","Parole Board","N/A","PB2","AA","14924","15701","Post Panel Office Support","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts34"
"Ministry of Justice","Parole Board","N/A","PB2","HEO","26345","30989","Executive Assistant to Chairman & CEO","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts35"
"Ministry of Justice","Parole Board","N/A","PB2","EO","21073","24789","Executive Busines Support Commitees &Communications","1","Operational delivery","/data/justice/2011-09-30/300911-Parole-Board-Organogram(v0.1).xls","juniorPosts36"
