"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Partnerships for Schools","CEO Office","PfS-24","Grade 7","43657","69710","Temporary Executive Assistant to CEO","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts2"
"Department for Education","Partnerships for Schools","CEO Office","PfS-24","EO","15786","26390","PA to CEO","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts3"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","Grade 6","66420","97390","Head of Information Systems","1","Information Technology","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts4"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","Grade 7","43657","69710","Head of Human Resources","1","Human resources","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts5"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","Grade 7","43657","69710","Finance and Governance Manager","1","Finance","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts6"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","Grade 7","43657","69710","IT Manager","1","Information Technology","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts7"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","SEO","32380","47160","HR Officer","2","Human resources","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts8"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","HEO","22890","35880","ICT Support Analyst","1","Information Technology","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts9"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","EO","15786","26390","PA/Team Secretary","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts10"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","EO","15786","26390","Receptionist","2","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts11"
"Department for Education","Partnerships for Schools","Corporate Resources","PfS-9","SEO","32380","47160","HR Officer","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts12"
"Department for Education","Partnerships for Schools","Corporate Affairs","PfS-10","Grade 7","43657","69710","Parliamentary Affairs Manager","1","Communications","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts13"
"Department for Education","Partnerships for Schools","Corporate Affairs","PfS-10","Grade 6","66420","97390","Senior Corporate Affairs Manager","1","Communications","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts14"
"Department for Education","Partnerships for Schools","Corporate Affairs","PfS-10","SEO","32380","47160","Communications Manager","1","Communications","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts15"
"Department for Education","Partnerships for Schools","Corporate Affairs","PfS-10","HEO","22890","35880","Parliamentary Affairs Officer","1","Communications","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts16"
"Department for Education","Partnerships for Schools","Corporate Affairs","PfS-10","HEO","22890","35880","Regional Information Officer","1","Communications","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts17"
"Department for Education","Partnerships for Schools","Corporate Affairs","PfS-10","EO","15786","26390","PA to Director","0.8","Communications","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts18"
"Department for Education","Partnerships for Schools","Academies","PfS-11","SEO","32380","47160","Assistant Project Director","2","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts19"
"Department for Education","Partnerships for Schools","Academies","PfS-11","Grade 6","66420","97390","Programme Director","3","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts20"
"Department for Education","Partnerships for Schools","Academies","PfS-11","Grade 6","66420","97390","Project Director","4","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts21"
"Department for Education","Partnerships for Schools","Academies","PfS-11","Grade 7","43657","69710","Project Director, Co-locations","2","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts22"
"Department for Education","Partnerships for Schools","Operations","PfS-12","Grade 7","43657","69710","Approvals Manager","1","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts23"
"Department for Education","Partnerships for Schools","Operations","PfS-12","SEO","32380","47160","Assistant Project Director","2","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts24"
"Department for Education","Partnerships for Schools","Operations","PfS-12","EO","15786","26390","PA/Team Secretary","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts25"
"Department for Education","Partnerships for Schools","Technology & Planning","PfS-13","SEO","32380","47160","Head of School Places Planning","0.68","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts26"
"Department for Education","Partnerships for Schools","Technology & Planning","PfS-13","EO","15786","26390","PA/Team Secretary","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts27"
"Department for Education","Partnerships for Schools","Technology & Planning","PfS-13","EO","15786","26390","Schools Places Planning Assistant","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts28"
"Department for Education","Partnerships for Schools","Technology & Planning","PfS-13","Grade 7","43657","69710","Culture Adviser","0.5","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts29"
"Department for Education","Partnerships for Schools","Commercial","PfS-14","Grade 6","66420","97390","Assistant Commercial Director","2","Law","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts30"
"Department for Education","Partnerships for Schools","Commercial","PfS-14","Grade 6","66420","97390","Commercial Manager","12.2","Law","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts31"
"Department for Education","Partnerships for Schools","Commercial","PfS-14","Grade 6","66420","97390","Technical & Construction Manager","1","Law","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts32"
"Department for Education","Partnerships for Schools","Commercial","PfS-14","Grade 7","43657","69710","Assistant Commercial Manager","2","Law","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts33"
"Department for Education","Partnerships for Schools","Commercial","PfS-14","EO","15786","26390","PA/Team Secretary","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts34"
"Department for Education","Partnerships for Schools","Operations","PfS-15","Grade 7","43657","69710","Financial Controller","1","Finance","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts35"
"Department for Education","Partnerships for Schools","Operations","PfS-15","HEO","22890","35880","Case Officer","2","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts36"
"Department for Education","Partnerships for Schools","Operations","PfS-15","SEO","32380","47160","Senior Case Officer","1","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts37"
"Department for Education","Partnerships for Schools","Operations","PfS-15","EO","15786","26390","Team Administrator","0.5","Operational delivery","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts38"
"Department for Education","Partnerships for Schools","Operations","PfS-16","Grade 6","66420","97390","Regional Programme Director","1","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts39"
"Department for Education","Partnerships for Schools","Operations","PfS-16","Grade 6","66420","97390","Project Director","10.4","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts40"
"Department for Education","Partnerships for Schools","Operations","PfS-16","Grade 7","43657","69710","Assistant Project Director","1","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts41"
"Department for Education","Partnerships for Schools","Operations","PfS-17","Grade 6","66420","97390","Regional Programme Director","1","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts42"
"Department for Education","Partnerships for Schools","Operations","PfS-17","Grade 6","66420","97390","Project Director","6","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts43"
"Department for Education","Partnerships for Schools","Operations","PfS-17","Grade 7","43657","69710","Assistant Project Director","1","Programme and Project Management (PPM)","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","juniorPosts44"
