"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","6/7","40000","45500","Principal Finance Officer","0.89","Finance","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","SEO","32000","38500","IT Manager","0.81","Information Technology","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","SEO","32000","38500","HR & Finance Manager","0.68","Finance","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","EO","19680","24000","PA","0.73","Knowledge and Information Management (KIM)","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","EO","19680","24000","Technical Specialist","0.92","Information Technology","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","EO","19680","24000","Business Support Officer","0.81","Finance","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","EO","19680","24000","Registration Specialist","1","Operational Delivery","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","EO","19680","24000","Library Specialist","0.61","Operational Delivery","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","AO","15000","17839","Business Support Assistant","0.57","Finance","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","AO","15000","17839","Registration Officer","1.09","Operational Delivery","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Public Lending Right","Central Offices Unit","1","AA","13475","14910","Administration Officer","1","Operational Delivery","/data/plr/2011-03-31/PLR-data-template---March-2011.xls","juniorPosts12"
