"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2011","Band B","18880","20493","Assistant","3.89","Human Resources","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts2"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2011","Band C","21983","31423","Co-ordinator","6","Human Resources","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts3"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2011","Band D","31019","43832","Manager","5","Human Resources","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts4"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2011","Band E","42383","68310","Technical Manager","10.8","Human Resources","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts5"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2011","Band G","81183","124480","Head of Function","1","Property and asset management","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts6"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band B","18880","20493","Assistant","3","Finance","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts7"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band C","21983","31423","Co-ordinator","1","Finance","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts8"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band D","31019","43832","Manager","2","Finance","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts9"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band E","42383","68310","Technical Manager","2","Finance","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts10"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band C","21983","31423","Co-ordinator","2","Information Technology","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts11"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band D","31019","43832","Manager","11","Information Technology","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts12"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band E","42383","68310","Technical Manager","7","Information Technology","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts13"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band F","69863","85388","Head of Function","1","Information Technology","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts14"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2013","Band E","42383","68310","Technical Manager","1","Property and asset management","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts15"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band D","31019","43832","Manager","4","Procurement","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts16"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band E","42383","68310","Technical Manager","4","Procurement","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts17"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band D","31019","43832","Manager","1","Policy","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts18"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band E","42383","68310","Technical Manager","1","Policy","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts19"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band C","21983","31423","Co-ordinator","1.6","Law","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts20"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band D","31019","43832","Manager","1","Law","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts21"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band E","42383","68310","Technical Manager","2.6","Law","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts22"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band C","21983","31423","Co-ordinator","1","Knowledge and Information Management (KIM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts23"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band D","31019","43832","Manager","3","Knowledge and Information Management (KIM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts24"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2012","Band E","42383","68310","Technical Manager","3","Knowledge and Information Management (KIM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts25"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band C","21983","31423","Co-ordinator","9.79","Communications","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts26"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band D","31019","43832","Manager","8","Communications","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts27"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band E","42383","68310","Technical Manager","3","Communications","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts28"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band F","69863","85388","Head of Function","1","Communications","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts29"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band B","18880","20493","Assistant","3","Programme and Project Management (PPM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts30"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band C","21983","31423","Co-ordinator","5","Programme and Project Management (PPM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts31"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band D","31019","43832","Manager","8","Programme and Project Management (PPM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts32"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band E","42383","68310","Technical Manager","5","Programme and Project Management (PPM)","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts33"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band C","21983","31423","Co-ordinator","1","Operational Research","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts34"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band D","31019","43832","Manager","7.8","Operational Research","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts35"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band E","42383","68310","Technical Manager","2","Operational Research","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts36"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band D","31019","43832","Manager","5","Policy","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts37"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band E","42383","68310","Technical Manager","17.61","Policy","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts38"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2010","Band F","69863","85388","Head of Function","4","Policy","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts39"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2003","Band B","18880","20493","Assistant","3","Operational Delivery","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts40"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2003","Band C","21983","31423","Co-ordinator","15","Operational Delivery","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts41"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2003","Band D","31019","43832","Manager","26.92","Operational Delivery","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts42"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2003","Band E","42383","68310","Technical Manager","36.69","Operational Delivery","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts43"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2003","Band F","69863","85388","Head of Function","1","Operational Delivery","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts44"
"Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","QCDA-2001","Band B","18880","20493","Assistant","2","Operational Delivery","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","juniorPosts45"
