"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Account Manager","3","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts2"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Senior Account Manger","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts3"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Commercial Director","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts4"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Assistant Accountant","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts5"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","AV Administrator","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts6"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","AVPM","5","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts7"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","AV Sales Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts8"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","AV Technician","2","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts9"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Senior AV Technician","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts10"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Business Centre Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts11"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Revenue & Commercial Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts12"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Credit Control Clerk","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts13"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Event Manager","7","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts14"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Event Operations Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts15"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Finance Director","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts16"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","HR Director","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts17"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","HR Executive","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts18"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","ICT Support Engineer","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts19"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Senior ICT Engineer","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts20"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Head of Dept AV Tech","3","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts21"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Marketing Communciations Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts22"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Operations Executive","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts23"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","PA to Chief Executive","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts24"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Production Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts25"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Purchase Ledger","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts26"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Sales & Marketing Administrator","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts27"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Security Inspector","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts28"
"Department for Communities and Local Government","Queen Elizabeth II Conference Centre","The Queen Elizabeth II Conference Centre","1","N/A","N/A","N/A","Facilities Manager","1","Operational delivery","/data/qeiicc/2011-09-30/300911-QEIICC-government-staff-and-salary-data---October-2011.xls","juniorPosts29"
