"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 1","48459","53949","Senior Management","3","Policy","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts2"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 1","48459","53949","Senior Management","1","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts3"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 2","35214","53500","Senior Management","1","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts4"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 2","35214","53500","Senior Specialist/Policy Adviser","3.8","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts5"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 3","29868","41561","Senior Specialist/Policy Adviser","3","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts6"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 3","29868","41561","Senior Curator & Keeper","2","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts7"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 3","29868","41561","Senior Manager","2","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts8"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 4","24559","44000","Senior Manager","4","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts9"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 4","24559","44000","Curator/Senior Academic","1","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts10"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 4","24559","44000","Manager","3","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts11"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 4","24559","44000","Manager","1","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts12"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515B","Rank 4","24559","44000","HR Officer","2","","/data/rafmuseum/2011-09-30/RAFM-staff-and-salary-data---Sep-2011.xls","juniorPosts13"
