"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Carlisle","7","AO","17605","19657","Team Member","192.9","Operational Delivery","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Carlisle","7","EO","22337","25903","Team Leader","51.58","Operational Delivery","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Carlisle","7","HEO","26745","30923","Manager","19.05","Operational Delivery","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Carlisle","7","SEO","33072","39404","Manager","7.81","Operational Delivery","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Carlisle","7","Grade 7","43221","51814","Senior Manager","4","Operational Delivery","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Carlisle","7","Grade 6","52708","63170","Senior Manager","1","Operational Delivery","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Chief Executives Office","1","AO","17605","19657","Team Member","1","Communications","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Chief Executives Office","1","HEO","26745","30923","Manager","5","Communications","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Chief Executives Office","1","SEO","33072","39404","Manager","2","Communications","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Chief Executives Office","1","Grade 7","43221","51814","Senior Manager","2.95","Communications","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","8","AO","17605","19657","Team Member","4","Information Technology","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","8","EO","22337","25903","Team Leader","17.59","Information Technology","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","8","HEO","26745","30923","Manager","16","Information Technology","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","8","SEO","33072","39404","Manager","27.59","Information Technology","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","8","Grade 7","43221","51814","Senior Manager","19.81","Information Technology","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","8","Grade 6","52708","63170","Senior Manager","5","Information Technology","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Commercial Directorate","9","AO","17605","19657","Team Member","4.59","Procurement","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Commercial Directorate","9","EO","22337","25903","Team Leader","2","Procurement","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Rural Payments Agency","Commercial Directorate","9","HEO","26745","30923","Manager","3","Procurement","/data/defra/2011-03-31/RPA-government-staff-and-salary-data---March-2011-V2.xls","juniorPosts20"
