"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band G","54565","69721","Group Leader/Division Head - Science and Engineering - Band F","1","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts2"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band F","42769","54649","Accelerator Physicist - Band F","2","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts3"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band F","42769","54649","Electrical/Electronic Engineer - Band F","1","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts4"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band F","42769","54649","Group Leader/Division Head - Science and Engineering - Band F","3","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts5"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band F","42769","54649","Scientist - Band F","5","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts6"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band E","33780","43164","Accelerator Physicist - Band E","5","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts7"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band E","33780","43164","Electrical/Electronic Engineer - Band E","7","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts8"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band E","33780","43164","Physicist - Band E","1","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts9"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band E","33780","43164","Project/Programme Manager - Band E","1","Programme and Project Management (PPM)","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts10"
"Department for Business Innovation and Skills","Science and Technology Facilities Council","Accelerator Science and Technology","1043989","Band E","33780","43164","Scientist - Band E","10","Science & Engineering","/data/stfc/2011-03-31/STFC-v3-24May-reload.xls","juniorPosts11"
