"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Scotland Office","Scotland Office","Scotland Office","2","Band A = Grade 6/7","43736","67969","Senior Economic Manager","1","Economics","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts2"
"Scotland Office","Scotland Office","Scotland Office","2","Band A = Grade 6/7","43736","67969","Senior Policy Manager","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts3"
"Scotland Office","Scotland Office","Scotland Office","2","Band A = Grade 6/7","43736","67969","Senior Policy Manager","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts4"
"Scotland Office","Scotland Office","Scotland Office","2","Band A = Grade 6/7","43736","67969","Senior Policy Manager","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts5"
"Scotland Office","Scotland Office","Scotland Office","2","Band B = SEO","32249","44964","Senior policy adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts6"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Economic Adviser","1","Economics","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts7"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","0.6","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts8"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts9"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","0.7","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts10"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","0.8","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts11"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts12"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts13"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts14"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts15"
"Scotland Office","Scotland Office","Scotland Office","2","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts16"
"Scotland Office","Scotland Office","Scotland Office","2","Band E/F = Admin","15792","22250","Policy Administrator","0.7","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts17"
"Scotland Office","Scotland Office","Scotland Office","2","Band E/F = Admin","15792","22250","Policy Administrator","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts18"
"Scotland Office","Scotland Office","Scotland Office","3","Band A = Grade 6/7","43736","67969","Senior Communications Manager","1","Communications","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts19"
"Scotland Office","Scotland Office","Scotland Office","3","Band A = Grade 6/7","43736","67969","Senior Press Officer","1","Communications","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts20"
"Scotland Office","Scotland Office","Scotland Office","3","Band A = Grade 6/7","43736","67969","Senior Private Secretary","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts21"
"Scotland Office","Scotland Office","Scotland Office","3","Band A = Grade 6/7","43736","67969","Senior Policy Manager","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts22"
"Scotland Office","Scotland Office","Scotland Office","3","Band B = SEO","32249","44964","Private Secretary","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts23"
"Scotland Office","Scotland Office","Scotland Office","3","Band B = SEO","32249","44964","Senior policy adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts24"
"Scotland Office","Scotland Office","Scotland Office","3","Band C = HEO","25165","36061","Private Secretary","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts25"
"Scotland Office","Scotland Office","Scotland Office","3","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts26"
"Scotland Office","Scotland Office","Scotland Office","3","Band C = HEO","25165","36061","Press Officer","1","Communications","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts27"
"Scotland Office","Scotland Office","Scotland Office","3","Band D = EO","22173","28000","Correspondence Officer","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts28"
"Scotland Office","Scotland Office","Scotland Office","3","Band D = EO","22173","28000","APS/Diary Secretary","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts29"
"Scotland Office","Scotland Office","Scotland Office","3","Band D = EO","22173","28000","APS/Diary Secretary","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts30"
"Scotland Office","Scotland Office","Scotland Office","3","Band E/F = Admin","15792","22250","Policy Administrator","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts31"
"Scotland Office","Scotland Office","Scotland Office","3","Band E/F = Admin","15792","22250","Executive Support Administrator","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts32"
"Scotland Office","Scotland Office","Scotland Office","4","Band A = Grade 6/7","43736","67969","Corporate Services Manager","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts33"
"Scotland Office","Scotland Office","Scotland Office","4","Band A = Grade 6/7","43736","67969","Senior Policy Manager","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts34"
"Scotland Office","Scotland Office","Scotland Office","4","Band B = SEO","32249","44964","Senior Corporate Services Adviser","1","Finance","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts35"
"Scotland Office","Scotland Office","Scotland Office","4","Band B = SEO","32249","44964","Senior Corporate Services Adviser","1","Human resources","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts36"
"Scotland Office","Scotland Office","Scotland Office","4","Band B = SEO","32249","44964","Senior Corporate Services Adviser","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts37"
"Scotland Office","Scotland Office","Scotland Office","4","Band B = SEO","32249","44964","Senior policy adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts38"
"Scotland Office","Scotland Office","Scotland Office","4","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts39"
"Scotland Office","Scotland Office","Scotland Office","4","Band C = HEO","25165","36061","Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts40"
"Scotland Office","Scotland Office","Scotland Office","4","Band C = HEO","25165","36061","Corporate Services Adviser","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts41"
"Scotland Office","Scotland Office","Scotland Office","4","Band D = EO","22173","28000","Assistant Corporate Services Adviser","1","Finance","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts42"
"Scotland Office","Scotland Office","Scotland Office","4","Band D = EO","22173","28000","Assistant Corporate Services Adviser","1","Finance","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts43"
"Scotland Office","Scotland Office","Scotland Office","4","Band D = EO","22173","28000","Assistant Corporate Services Adviser","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts44"
"Scotland Office","Scotland Office","Scotland Office","4","Band D = EO","22173","28000","Assistant Policy Adviser","1","Policy","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts45"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","1","Finance","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts46"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","1","Finance","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts47"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","1","Finance","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts48"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts49"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","0.4","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts50"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts51"
"Scotland Office","Scotland Office","Scotland Office","4","Band E/F = Admin","15792","22250","Corporate Services Administrator","1","Operational delivery","/data/scotlandoffice/2011-09-30/300311Transparency-Data-for-Govt-staff-and-salary-SO-Final-Template---November-2011.xls","juniorPosts52"
