"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","A3","15792","17632","A3","1","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts2"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","A4","17632","20405","A4","0.5","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts3"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","B1","22173","25165","B1","2","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts4"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","B2","25165","30267","B2","5.99","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts5"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","B3","32249","40173","B3","4.35","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts6"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","C1","43736","52595","C1","1","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts7"
"Scottish Government","Scottish Government","ADULT CARE AND SUPPORT DIVISION","27","C3","59284","66671","C3","1","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts8"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","A3","15792","17632","A3","96.27","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts9"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","A4","17632","20405","A4","18.23","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts10"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","B1","22173","25165","B1","210.61","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts11"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","B2","25165","30267","B2","56.05","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts12"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","B3","32249","40173","B3","33","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts13"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","C1","43736","52595","C1","12","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts14"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DELIVERY DIVISION","50","C3","59284","66671","C3","3","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts15"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DEVELOPMENT","45","A3","15792","17632","A3","2.81","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts16"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DEVELOPMENT","45","A4","17632","20405","A4","1","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts17"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DEVELOPMENT","45","B1","22173","25165","B1","4.18","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts18"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DEVELOPMENT","45","B2","25165","30267","B2","11.96","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts19"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DEVELOPMENT","45","B3","32249","40173","B3","6","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts20"
"Scottish Government","Scottish Government","AGRICULTURE AND RURAL DEVELOPMENT","45","C1","43736","52595","C1","6","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts21"
"Scottish Government","Scottish Government","ANIMAL HEALTH AND WELFARE","46","A3","15792","17632","A3","5","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts22"
"Scottish Government","Scottish Government","ANIMAL HEALTH AND WELFARE","46","A4","17632","20405","A4","1","Policy","/data/scotland/2011-03-31/March-2011-Organogram.xls","juniorPosts23"
