"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 5 AO","17567","21106","Marketing Administrator","1","Communications","/data/sia/2011-09-30/SIA.xls","juniorPosts2"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 5 AO","17567","21106","Support Officer","1","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts3"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 5 AO","17567","21106","Intelligence Support Officer","1","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts4"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 4 EO","21436","26020","Partner Intelligence Officer","1","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts5"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 4 EO","21436","26020","Intelligence Officer","1","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts6"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 4 EO","21436","26020","Digital Media Support Officer","1","Communications","/data/sia/2011-09-30/SIA.xls","juniorPosts7"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 4 EO","21436","26020","Executive Support Officer","1","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts8"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 4 EO","21436","26020","Media Relations Officer","1","Communications","/data/sia/2011-09-30/SIA.xls","juniorPosts9"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 4 EO","21436","26020","Intelligence Analyst","2","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts10"
"Home Office","Security Industry Authority","Compliance, Intelligence and Communication","SIA002","Band 3 HEO","26141","31370","Insight Officer","1","Operational delivery","/data/sia/2011-09-30/SIA.xls","juniorPosts11"
