"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","Grade 6","59012","71128","Case Manager","10.7","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts2"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","Grade 6","59012","71128","Principal Divisional Investigator","1","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts3"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","Grade 7","46274","59051","Investigative Lawyer","6.89","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts4"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","Grade 7","46274","59051","Principal Investigator","7","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts5"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","SEO","33518","40886","Business Support Manager","1","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts6"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","SEO","33518","40886","Senior Investigator","12.6","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts7"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","HEO","33518","40886","Investigator","12.6","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts8"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","HEO","33518","40886","Resource Manager","1","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts9"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","EO","22173","28364","Assistant Investigator","12","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts10"
"Attorney General's Office","Serious Fraud Office","Bribery and Corruption Business Area","13","EO","22173","28364","Personal Assistant","1","Operational Delivery","/data/sfo/2011-03-31/government-staff-and-salary-data-SFO-v2---March-2011.xls","juniorPosts11"
