"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","LA","105000","110000","LA","1","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts2"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","SG1","63078","80883","SG1","11","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts3"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","SG2","51493","66025","SG2","16.59","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts4"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","SG3","41195","54050","SG3","29.49","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts5"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","SG4","32956","43240","SG4","10","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts6"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","SG5","24717","36321","SG5","21.65","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts7"
"Home Office","Serious Organised Crime Agency","Central Services","P03689","SG6","17689","25945","SG6","6","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts8"
"Home Office","Serious Organised Crime Agency","Child Exploitation On Line Protection","P03688","DD","82000","93000","DD","1","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts9"
"Home Office","Serious Organised Crime Agency","Child Exploitation On Line Protection","P03688","SG1","63078","80883","SG1","5","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts10"
"Home Office","Serious Organised Crime Agency","Child Exploitation On Line Protection","P03688","SG2","51493","66025","SG2","2.9","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts11"
"Home Office","Serious Organised Crime Agency","Child Exploitation On Line Protection","P03688","SG3","41195","54050","SG3","7","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts12"
"Home Office","Serious Organised Crime Agency","Child Exploitation On Line Protection","P03688","SG4","32956","43240","SG4","20","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts13"
"Home Office","Serious Organised Crime Agency","Child Exploitation On Line Protection","P03688","SG5","24717","36321","SG5","31","Operational Delivery","/data/soca/2011-03-31/Copy-of-government-staff-and-salary-data---March-2011---SOCA.xls","juniorPosts14"
