"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Conservation","158290","Level 3","18000","30000","Conservator","2","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Development","158290","Level 1","35000","60000","Director","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Development","158290","Level 3","18000","30000","Officer","2","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Directorate","158290","Level 1","35000","60000","Director","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Conservation","158290","Level 3","18000","30000","Admin Officer","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Education","158290","Level 2","20000","35000","Head","2","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Education","158290","Level 3","18000","30000","Officer","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Exhibitions","158290","Level 3","18000","30000","Curator","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Finance","158290","Level 1","35000","60000","Director","1","Finance","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Finance","158290","Level 1","35000","60000","Admin Officer","1","Finance","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Library Services","158290","Level 2","20000","35000","Head","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Library Services","158290","Level 3","18000","30000","Curator","4","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Trading","158290","Level 2","20000","35000","Head","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Visitor Services","158290","Level 2","20000","35000","Head","1","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","Sir John Soane's Museum","Visitor Services","158290","Level 3","18000","30000","Warder","17","Operational delivery","/data/soane/2011-09-30/Government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts16"
