"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-59","Unknown","0","0","Unknown","1","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts2"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-66","2","20746","38665","Senior Technical Specialist","10.31","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts3"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-66","2","20746","38665","Supervisory / Support","1","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts4"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-66","2","20746","38665","Technical Specialist","7.83","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts5"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-66","3","34510","54790","Managerial","19.32","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts6"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-66","4","50318","89048","Senior Managerial","3","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts7"
"Department for Business Innovation and Skills","Skills Funding Agency","Communications and Campaigns","SFA-66","Unknown","0","0","Unknown","13.8","Communications","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts8"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-1","2","20746","38665","Supervisory / Support","1","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts9"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-1","3","34510","54790","Managerial","2","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts10"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-1","4","50318","89048","Senior Managerial","1","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts11"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","1","13326","26832","Administrative","2.87","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts12"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","1","13326","26832","Senior Administrative","2","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts13"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","2","20746","38665","Senior Technical Specialist","4","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts14"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","2","20746","38665","Supervisory / Support","3","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts15"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","2","20746","38665","Technical Specialist","5","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts16"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","3","34510","54790","Managerial","15.43","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts17"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-10","4","50318","89048","Senior Managerial","3","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts18"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-11","1","13326","26832","Administrative","2.82","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts19"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-11","1","13326","26832","Senior Administrative","1","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts20"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-11","2","20746","38665","Senior Technical Specialist","5","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts21"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-11","3","34510","54790","Managerial","11","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts22"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-11","4","50318","89048","Senior Managerial","7","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts23"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-52","1","13326","26832","Administrative","1","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts24"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-52","2","20746","38665","Senior Technical Specialist","1","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts25"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-52","3","34510","54790","Managerial","2.82","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts26"
"Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","SFA-52","4","50318","89048","Senior Managerial","1","Operational delivery","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts27"
"Department for Business Innovation and Skills","Skills Funding Agency","Human Resources and Facilities","SFA-5","1","13326","26832","Administrative","5.47","Human resources","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts28"
"Department for Business Innovation and Skills","Skills Funding Agency","Human Resources and Facilities","SFA-5","1","13326","26832","Administrative","5.22","Property and Asset Management","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","juniorPosts29"
