"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","3","53781","86100","Senior Operational Manager Communications","1","Communications","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts2"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","4","41570","64500","Head of Brand Communications","1","Communications","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts3"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","4","41570","64500","Head of Client Management","0.89","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts4"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","4","41570","64500","senior policy adviser","1","Policy","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts5"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","5","33256","52500","Senior Communications Officer","1","Communications","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts6"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","6","26605","40700","Communications Officer","1","Communications","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts7"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","6","26605","40700","policy adviser","1","Policy","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts8"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","7","22171","36500","policy adviser","1","Policy","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts9"
"Department for Culture, Media and Sport","Sport England","Business Partnerships","1CP001","7","22171","36500","Programme Support Officer","1","Communications","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts10"
"Department for Culture, Media and Sport","Sport England","Chief Executive's Office","1CE001","4","41570","64500","Operational Manager Chief Executive's Office","1","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts11"
"Department for Culture, Media and Sport","Sport England","Chief Executive's Office","1CE001","5","33256","52500","Project Manager","1","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts12"
"Department for Culture, Media and Sport","Sport England","Chief Executive's Office","1CE001","6","26605","40700","Personal Assistant","1","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts13"
"Department for Culture, Media and Sport","Sport England","Chief Executive's Office","1CE001","9","16000","24547","Receptionist","2","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts14"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","3","53781","86100","Senior Operational Manager Facilities and Planning","2","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts15"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","4","41570","64500","Operational Manager Capital Projects","3.4","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts16"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","4","41570","64500","Operational Manager Facilities and Planning","17","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts17"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","5","33256","52500","Facilities Manager","1","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts18"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","5","33256","52500","Planning Manager","19.9","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts19"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","5","33256","52500","Project Manager","2","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts20"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","6","26605","40700","Project Manager","1","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts21"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","7","22171","36500","Assistant Planner","3","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts22"
"Department for Culture, Media and Sport","Sport England","Facilities and Planning","1FP001","7","22171","36500","Personal Assistant","1","Operational Delivery","/data/sportengland/2011-03-31/copy-of-government-staff-working-doc-3.xls","juniorPosts23"
