"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","A/B","15300","24187","Administrator","1.8","Operational Delivery","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","A/B","15300","24187","Administrator","1","Policy","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","C","26100","31175","Press Officer","1","Communications","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","F","55800","66650","senior operational manager","3","Operational Delivery","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","A/B","15300","24187","Executive Assistant","1","Operational Delivery","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","A/B","15300","24187","Executive Assistant","1","Policy","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","C","26100","31175","Technical Adviser","1","Operational Delivery","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","E","43200","51600","senior finance manager","1","Finance","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","C","26100","31175","policy adviser","2","Policy","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department for Communities and Local Government","Standards Board for England","Standards","19","F","55800","66650","Senior Legal Adviser","1","Law","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","E","43200","51600","Senior HR Manager","1","Human Resources","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts12"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including Regulation)","42","C","26100","31175","HR Officer","0.84","Human Resources","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts13"
"Department for Communities and Local Government","Standards Board for England","Standards","19","D","33300","39775","IT Manager","1","Information Technology","/data/standardsforengland/2011-03-31/government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts14"
