"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","A/B","15300","24187","Administrator","1.8","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts2"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","A/B","15300","24187","Administrator","1","Policy","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts3"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","C","26100","31175","Press Officer","1","Communications","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts4"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","F","55800","66650","Senior Operational Manager","2","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts5"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","A/B","15300","24187","Executive Assistant","1","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts6"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","A/B","15300","24187","Executive Assistant","0.4","Policy","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts7"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","C","26100","31175","Technical Adviser","1","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts8"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","E","43200","51600","Senior Finance Manager","1","Finance","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts9"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","C","26100","31175","Policy Adviser","2","Policy","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts10"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","F","55800","66650","Senior Legal Adviser","1","Law","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts11"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","E","43200","51600","Senior HR Manager","1","Human resources","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts12"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","C","26100","31175","HR Officer","0.84","Human resources","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts13"
"Department for Communities and Local Government","Standards Board for England","Closure Programme","19","D","33300","39775","IT Manager","1","Information Technology","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts14"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","A/B","15300","24187","Investigations Support Officer","1","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts15"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","C (higher)","33100","38175","Investigator","4","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts16"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","D (higher)","38300","44775","Investigator (principal)","2","Operational delivery","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts17"
"Department for Communities and Local Government","Standards Board for England","Strategic Relations","179","D","33300","39775","Knowledge Information Management Support","1","Knowledge and Information Management (KIM)","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts18"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","D (higher)","38300","44775","Legal Adviser","1","Law","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts19"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","C","26100","31175","Assurance Officer","1","Knowledge and Information Management (KIM)","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts20"
"Department for Communities and Local Government","Standards Board for England","Chief Executive's Office (including regulation)","42","E (higher)","48200","56600","Principal Legal Adviser","1","Law","/data/standardsforengland/2011-09-30/3government-staff-and-salary-data-blank-template--standards-for-england-281111.xls","juniorPosts21"
