"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Business Support Manager","38480","57446","Senior Finance Manager","1","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts2"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Business Support 2","15572","19371","Finance Support Officer","4.5","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts3"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Professional","29600","50105","Finance Officer","1","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts4"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Business Adviser","21400","38091","Finance Officer","2","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts5"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Professional","29600","50105","Finance Officer","1","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts6"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Business Adviser","21400","38091","Finance Officer","0.8","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts7"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Accounting Systems & Operations","SLC9","Business Adviser","21400","38091","Finance Officer","2","Finance","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts8"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Assessment Services","SLC6","Customer Support 1","14918","18458","Operations Support Officer","11","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts9"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Assessment Services","SLC6","Customer Manager","38480","57446","Operational Manager","1","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts10"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Assessment Services","SLC6","Customer Support 2","15572","19371","Operations Support Officer","295.4","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts11"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Assessment Services","SLC6","Customer Support 2","15572","19371","Operations Support Officer","7.6","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts12"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Assessment Services","SLC6","People Manager 2","29600","50105","Operational Manager","5","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts13"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Assessment Services","SLC6","People Manager 1","21400","38091","Review Team Leader","26","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts14"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Analysis","SLC6","Professional","29600","50105","Analyst","1","Operational Research","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts15"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Analysis","SLC6","Professional","29600","50105","Analyst","3","Operational Research","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts16"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Analysis","SLC6","Professional","29600","50105","Analyst","6","Operational Research","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts17"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Analysis","SLC6","Business Adviser","21400","38091","Analyst","4","Operational Research","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts18"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Development","SLC9","Business Support 2","15572","19371","Operations Support Officer","1","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts20"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Development","SLC9","Business Support Manager","38480","57446","Business Manager","1","Operational Delivery","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts21"
"Department for Business, Innovation and Skills","Student Loans Company Limited","Business Development","SLC9","Professional","29600","50105","Policy Adviser","1","Policy","/data/slc/2015-03-31/Student-Loans-Company-31032015.xls","juniorPosts22"
