"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Tate","Tate Modern","0036","A","40000","","Leadership (London)","5","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Tate","Tate Modern","0036","B","27150","53000","Senior Advisory (London)","13.4","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Tate","Tate Modern","0036","C","22900","29130","Specialist (London)","17","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Tate","Tate Modern","0036","D","19850","22491","Administrative & Technical (London)","5.6","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Tate","Tate Britain","0038","A","40000","","Leadership (London)","5","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Tate","Tate Britain","0038","B","27150","53000","Senior Advisory (London)","16.6","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Tate","Tate Britain","0038","C","22900","29130","Specialist (London)","15.78","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Tate","Tate Britain","0038","D","19850","22491","Administrative & Technical (London)","3.8","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Tate","Deputy Director's Office","0006","A","40000","","Leadership (London)","19.2","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Tate","Deputy Director's Office","0006","B","27150","53000","Senior Advisory (London)","73.73","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Tate","Deputy Director's Office","0006","C","22900","29130","Specialist (London)","70.7","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","Tate","Deputy Director's Office","0006","D","19850","22491","Administrative & Technical (London)","45.88","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","Tate","Deputy Director's Office","0006","E","17100","19510","Support (London)","114.56","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","Tate","Tate National","0603","A","40000","","Leadership (London)","7","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","Tate","Tate National","0603","AR","37300","","Leadership (Regional)","4","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts16"
"Department for Culture, Media and Sport","Tate","Tate National","0603","B","27150","53000","Senior Advisory (London)","27","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts17"
"Department for Culture, Media and Sport","Tate","Tate National","0603","BR","24450","42500","Senior Advisory (Regional)","29.7","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts18"
"Department for Culture, Media and Sport","Tate","Tate National","0603","C","22900","29130","Specialist (London)","20.43","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts19"
"Department for Culture, Media and Sport","Tate","Tate National","0603","CR","20800","26276","Specialist (Regional)","14.33","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts20"
"Department for Culture, Media and Sport","Tate","Tate National","0603","D","19850","22491","Administrative & Technical (London)","6.4","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts21"
"Department for Culture, Media and Sport","Tate","Tate National","0603","DR","17150","20172","Administrative & Technical (Regional)","27.11","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts22"
"Department for Culture, Media and Sport","Tate","Tate National","0603","E","17100","19510","Support (London)","3.11","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts23"
"Department for Culture, Media and Sport","Tate","Tate National","0603","ER","14400","16615","Support (Regional)","33.84","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts24"
"Department for Culture, Media and Sport","Tate","Chief Operating Officer's Office","0638","A","40000","","Leadership (London)","11","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts25"
"Department for Culture, Media and Sport","Tate","Chief Operating Officer's Office","0638","B","27150","53000","Senior Advisory (London)","70.69","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts26"
"Department for Culture, Media and Sport","Tate","Chief Operating Officer's Office","0638","C","22900","29130","Specialist (London)","54.29","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts27"
"Department for Culture, Media and Sport","Tate","Chief Operating Officer's Office","0638","D","19850","22491","Administrative & Technical (London)","48.04","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts28"
"Department for Culture, Media and Sport","Tate","Chief Operating Officer's Office","0638","E","17100","19510","Support (London)","2","Operational Delivery","/data/tate/2011-03-31/Tate-staff-and-salary-data---March-2011.xls","juniorPosts29"
