"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","19","58000","70000","Strategic Regulation Manager","11.8","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts2"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","19","58000","70000","Head of Regulatory Engagement","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts3"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","11","21238","22300","Team Administrator","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts4"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","17","42304","46757","Regulation Team Manager","4","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts5"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","16","37131","41040","Regulation Manager","21.9","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts6"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","18","49413","54614","Registrations Manager","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts7"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","17","42304","46757","Senior Registrations Advisor","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts8"
"Department for Communities and Local Government","Tenant Services Authority","Regulatory Engagement","1990","14","28242","31215","Registrations Advisor","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts9"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","13","25043","27679","Support Officer (Assurance & Analysis)","2","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts10"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","17","42304","46757","Statutory Processes Manager","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts11"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","16","37131","41040","Statutory Processes Supervisor (Registry)","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts12"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","13","25043","27679","Statutory Processes Support Officer","6","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts13"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","14","28242","31215","Statutory Processes Supervisor (Consents)","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts14"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","14","28242","31215","Statutory Processes Officer (Constitutions)","2","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts15"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","20","70000","82000","Head of Private Finance","2","economics","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts16"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","19","58000","70000","Head of Regulatory Assurance Operations","1","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts17"
"Department for Communities and Local Government","Tenant Services Authority","Assurance & Financial Analysis","2006","18","49413","54614","Regulatory Assurance Manager","4","Operational Delivery","/data/tsa/2011-04-26/TSA-return---FINAL.xls","juniorPosts18"
