"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","1","A","34391","43623","Executive Assistant","1","Operational Delivery","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","1","B","27477","34853","Executive Assistant","1","Operational Delivery","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","1","D","18323","22360","Secretary","1","Operational Delivery","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","The British Library","Finance and Corporate Services","2","SB4","42830","54328","senior finance manager","5","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","The British Library","Finance and Corporate Services","2","A","34391","43623","senior finance manager","9","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","The British Library","Finance and Corporate Services","2","B","27477","34853","Finance Officer","4","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","The British Library","Finance and Corporate Services","2","C","22063","27986","Finance Officer","7","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","The British Library","Finance and Corporate Services","2","D","18323","22360","Finance Support Officer","5","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","The British Library","Finance and Corporate Services","2","E","15657","18294","Finance Support Officer","6","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","The British Library","Scholarship and Collections","3","C","22063","27986","Secretary","2","Knowledge and Information Management (KIM)","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","The British Library","e-Strategy and Information Systems","4","SB4","42830","54328","Senior IT Manager","2","Information Technology","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","The British Library","e-Strategy and Information Systems","4","A","34391","43623","Senior IT Manager","2","Information Technology","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","The British Library","e-Strategy and Information Systems","4","B","27477","34853","IT Officer","1","Information Technology","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","The British Library","e-Strategy and Information Systems","4","D","18323","22360","IT Support Officer","1","Information Technology","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","The British Library","Strategic Marketing and Communications","5","SB4","42830","54328","Senior Communications Manager","1","Communications","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts16"
"Department for Culture, Media and Sport","The British Library","Strategic Marketing and Communications","5","A","34391","43623","Senior Communications Manager","4","Communications","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts17"
"Department for Culture, Media and Sport","The British Library","Strategic Marketing and Communications","5","B","27477","34853","Communications Manager","3","Communications","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts18"
"Department for Culture, Media and Sport","The British Library","Strategic Marketing and Communications","5","C","22063","27986","Communications Support Officer","4","Communications","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts19"
"Department for Culture, Media and Sport","The British Library","Strategic Marketing and Communications","5","D","18323","22360","Communications Support Officer","4","Communications","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts20"
"Department for Culture, Media and Sport","The British Library","Human Resources","6","B","27477","34853","HR Officer","1","Human Resources","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts21"
"Department for Culture, Media and Sport","The British Library","Human Resources","6","C","22063","27986","Secretary","1","Human Resources","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts22"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","10","D","18323","22360","Secretary","1","Operational Delivery","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts23"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","A","34391","43623","senior finance manager","3","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts24"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","B","27477","34853","Finance Officer","5","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts25"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","C","22063","27986","Finance Officer","2","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts26"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","D","18323","22360","Finance Support Officer","23","Finance","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts27"
"Department for Culture, Media and Sport","The British Library","Procurement","12","SB4","42830","54328","Senior Procurement Officer","1","Procurement","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts28"
"Department for Culture, Media and Sport","The British Library","Procurement","12","A","34391","43623","Senior Procurement Officer","3","Procurement","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts29"
"Department for Culture, Media and Sport","The British Library","Procurement","12","B","27477","34853","Procurement Officer","3","Procurement","/data/bl/2011-03-31/Brit-Lib-Staff-and-Salary-Data---March-2011.xls","juniorPosts30"
