"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","M4","57902","74902","N/A","6.6","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts2"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R5","43285","52739","N/A","12.67","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts3"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R4A","32239","39275","N/A","11.92","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts4"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R4B","37084","44298","N/A","20","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts5"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R3A","26476","32251","N/A","15","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts6"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R3B","30746","36722","N/A","17.8","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts7"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R2A","20724","26775","N/A","10","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts8"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R2B","23801","30756","N/A","3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts9"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","R1B","20961","24543","N/A","0.56","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts10"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","S3","23330","29570","N/A","4","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts11"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","S2","18793","22001","N/A","13","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts12"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","C2C","22907","27900","N/A","0.17","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts13"
"Department for Culture, Media and Sport","The British Museum","Income Generation and Administration","2281","C3C","26820","32669","N/A","0.8","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts14"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","M4","57902","74902","N/A","10","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts15"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","M3","35585","44220","N/A","2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts16"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","R4A","32239","39275","N/A","5","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts17"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","R4B","37084","44298","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts18"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","R3A","26476","32251","N/A","23.96","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts19"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","R2A","20724","26775","N/A","3.6","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts20"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","S4","27263","33210","N/A","3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts21"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","S3","23330","29570","N/A","11","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts22"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","S2","18793","22001","N/A","28.13","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts23"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","S1","16373","19167","N/A","5","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts24"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","SD2","15669","18703","N/A","0.4","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts25"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C5B","36146","44917","N/A","9.2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts26"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C5C","42567","55034","N/A","25.43","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts27"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C5C","42567","55034","N/A","2.4","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts28"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C4B","29103","36163","N/A","17.14","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts29"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C4C","33282","43020","N/A","32.19","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts30"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C3A","24246","30133","N/A","14","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts31"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C3B","24381","29114","N/A","28.3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts32"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C3C","26820","32669","N/A","64.1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts33"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C2A","18056","22423","N/A","67.1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts34"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C2B","21670","25371","N/A","11","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts35"
"Department for Culture, Media and Sport","The British Museum","Collections","1014","C2C","22907","27900","N/A","16.29","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts36"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","M4","57902","74902","N/A","3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts37"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","R5","43285","52739","N/A","5","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts38"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","R4A","32239","39275","N/A","9.8","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts39"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","R4B","37084","44298","N/A","2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts40"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","R3A","26476","32251","N/A","11","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts41"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","S4","27263","33210","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts42"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","S3","23330","29570","N/A","2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts43"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","S2","18793","22001","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts44"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","C5C","42567","55034","N/A","4.5","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts45"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","C4C","33282","43020","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts46"
"Department for Culture, Media and Sport","The British Museum","Strategic Planning and Projects","2249","C3C","26820","32669","N/A","5","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts47"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","M4","57902","74902","N/A","2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts48"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","M3","35585","44220","N/A","3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts49"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","M2","23393","27935","N/A","4","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts50"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","M2A","30915","33464","N/A","9","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts51"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","M1","19599","23402","N/A","29","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts52"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R5","43285","52739","N/A","8.6","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts53"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R4A","32239","39275","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts54"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R4B","37084","44298","N/A","3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts55"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R3A","26476","32251","N/A","12","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts56"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R3B","30746","36722","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts57"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R2A","20724","26775","N/A","15","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts58"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R2B","23801","30756","N/A","1","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts59"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","R1B","20961","24543","N/A","2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts60"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","S4","27263","33210","N/A","3","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts61"
"Department for Culture, Media and Sport","The British Museum","Visitor and Building Services","2386","S3","23330","29570","N/A","2","Other","/data/britishmuseum/2011-09-30/The-British-Museum-300911-Organogram-data.xls","juniorPosts62"
