"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 1 (National)","14764","16404","Administrative Support","5.11","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 2 (London)","21490","22872","Administrative Support","2.71","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 2 (National)","16650","19955","Administrative Support","22.96","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Policy & Regulation Directorate","103","Band 1 (National)","14764","16404","Administrative Support","0.59","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Policy & Regulation Directorate","103","Band 2 (National)","16650","19955","Administrative Support","8.36","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","External Affairs Directorate","104","Band 1 (National)","14764","16404","Administrative Support","3.01","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Finance & Corporate Services Directorate","105","Band 1 (National)","14764","16404","Administrative Support","4","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Finance & Corporate Services Directorate","105","Band 2 (National)","16650","19955","Administrative Support","7.8","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 3 (National)","20993","25967","Analyst","90.58","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 4 (National)","25307","31090","Analyst","85.18","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 5 (National)","31944","39230","Analyst","4.8","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Policy & Regulation Directorate","103","Band 3 (National)","20993","25967","Analyst","1","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Policy & Regulation Directorate","103","Band 4 (National)","25307","31090","Analyst","4","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","External Affairs Directorate","104","Band 3 (National)","20993","25967","Analyst","5.82","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","External Affairs Directorate","104","Band 4 (National)","25307","31090","Analyst","5.19","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Chief Scientist Group","106","Band 4 (National)","25307","31090","Analyst","6","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 3 (National)","20993","25967","Analyst","1","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Apprentice","9500","9500","Apprentice","5","Science and Engineering","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 4 (National)","25307","31090","Business Support Manager","1","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts20"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Operations Directorate","102","Band 5 (National)","31944","39230","Business Support Manager","2.81","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts21"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Policy & Regulation Directorate","103","Band 5 (National)","31944","39230","Business Support Manager","3.41","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts22"
"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency","Policy & Regulation Directorate","103","Band 6 (National)","43814","51763","Business Support Manager","4","Operational delivery","/data/fera/2011-09-30/Transparency-Template---October-2011.xls","juniorPosts23"
